matrix,mode,opt_level,schedule,chunk_size,num_threads,p90_time,p90_bandwidth,p90_gflops
Andrews.mtx,parallel,-O3,dynamic,10000,1,0.732565,7.819819,1.125057
Andrews.mtx,parallel,-O3,dynamic,10000,2,0.447321,14.309143,2.058693
Andrews.mtx,parallel,-O3,dynamic,1000,4,0.281572,27.673466,3.981453
Andrews.mtx,parallel,-O3,dynamic,1000,8,0.199604,46.212754,6.648748
Andrews.mtx,parallel,-O3,dynamic,1000,16,0.198341,75.284067,10.831312
Andrews.mtx,parallel,-O3,dynamic,1000,32,0.196075,92.287299,13.277612
Andrews.mtx,parallel,-O3,dynamic,1000,64,0.195145,67.714052,9.742195
Andrews.mtx,parallel,-O3,guided,10000,1,0.736117,7.790523,1.120842
Andrews.mtx,parallel,-O3,guided,10,2,0.438976,14.853626,2.13703
Andrews.mtx,parallel,-O3,guided,10,4,0.24128,27.858246,4.008037
Andrews.mtx,parallel,-O3,guided,1,8,0.174642,46.336967,6.666619
Andrews.mtx,parallel,-O3,guided,100,16,0.152612,79.387205,11.421641
Andrews.mtx,parallel,-O3,guided,100,32,0.158071,88.01987,12.663645
Andrews.mtx,parallel,-O3,guided,1000,64,0.220323,65.931378,9.485717
Andrews.mtx,parallel,-O3,static,1,1,0.748014,7.717349,1.110314
Andrews.mtx,parallel,-O3,static,10000,2,0.424003,13.90109,1.999986
Andrews.mtx,parallel,-O3,static,1000,4,0.220418,27.673466,3.981453
Andrews.mtx,parallel,-O3,static,1000,8,0.132013,48.392228,6.962314
Andrews.mtx,parallel,-O3,static,100,16,0.087785,82.819914,11.915514
Andrews.mtx,parallel,-O3,static,1000,32,0.060606,139.010901,19.999856
Andrews.mtx,parallel,-O3,static,1000,64,0.088787,121.621468,17.497993
Andrews.mtx,sequential,-O3,none,none,1,0.702429,8.158698,1.173812
Hook_1498.mtx,parallel,-O3,dynamic,10,1,42.324329,9.489574,1.572427
Hook_1498.mtx,parallel,-O3,dynamic,1000,2,33.613515,12.421848,2.058306
Hook_1498.mtx,parallel,-O3,dynamic,1000,4,24.754214,17.271878,2.861958
Hook_1498.mtx,parallel,-O3,dynamic,1000,8,17.917514,27.653848,4.582256
Hook_1498.mtx,parallel,-O3,dynamic,10000,16,15.032577,27.670635,4.585037
Hook_1498.mtx,parallel,-O3,dynamic,10,32,19.525957,21.388414,3.54407
Hook_1498.mtx,parallel,-O3,dynamic,10,64,16.804862,24.931849,4.131219
Hook_1498.mtx,parallel,-O3,guided,10,1,35.42633,10.785295,1.787128
Hook_1498.mtx,parallel,-O3,guided,10,2,20.491743,18.897663,3.131352
Hook_1498.mtx,parallel,-O3,guided,1000,4,21.120572,23.013506,3.813349
Hook_1498.mtx,parallel,-O3,guided,10,8,16.5138,28.387764,4.703866
Hook_1498.mtx,parallel,-O3,guided,100,16,14.551616,29.396527,4.871019
Hook_1498.mtx,parallel,-O3,guided,100,32,34.105921,17.023678,2.820831
Hook_1498.mtx,parallel,-O3,guided,1000,64,117.313123,4.871968,0.807287
Hook_1498.mtx,parallel,-O3,static,1000,1,34.178566,11.174073,1.85155
Hook_1498.mtx,parallel,-O3,static,1000,2,19.23213,19.674198,3.260024
Hook_1498.mtx,parallel,-O3,static,1000,4,18.911958,21.477765,3.558876
Hook_1498.mtx,parallel,-O3,static,1000,8,11.86347,32.84471,5.442384
Hook_1498.mtx,parallel,-O3,static,1000,16,11.476826,34.012301,5.635854
Hook_1498.mtx,parallel,-O3,static,1000,32,15.750932,30.278942,5.017235
Hook_1498.mtx,parallel,-O3,static,1,64,24.81451,15.6944,2.60057
Hook_1498.mtx,sequential,-O3,none,none,1,35.519886,10.744394,1.780351
bcsstk27.mtx,parallel,-O3,dynamic,10000,1,0.02718,13.209002,2.20682
bcsstk27.mtx,parallel,-O3,dynamic,100,2,0.028968,18.94449,3.165044
bcsstk27.mtx,parallel,-O3,dynamic,100,4,0.020122,24.580549,4.106657
bcsstk27.mtx,parallel,-O3,dynamic,100,8,0.024175,26.819455,4.480709
bcsstk27.mtx,parallel,-O3,dynamic,100,16,0.022054,21.958129,3.668531
bcsstk27.mtx,parallel,-O3,dynamic,100,32,0.023318,17.248736,2.881735
bcsstk27.mtx,parallel,-O3,dynamic,100,64,0.036311,11.338936,1.894389
bcsstk27.mtx,parallel,-O3,guided,10000,1,0.025034,13.766508,2.299962
bcsstk27.mtx,parallel,-O3,guided,10,2,0.033403,19.277071,3.220608
bcsstk27.mtx,parallel,-O3,guided,100,4,0.021386,24.580549,4.106657
bcsstk27.mtx,parallel,-O3,guided,100,8,0.018215,25.007695,4.17802
bcsstk27.mtx,parallel,-O3,guided,100,16,0.022459,20.278609,3.387934
bcsstk27.mtx,parallel,-O3,guided,100,32,0.030232,13.885171,2.319787
bcsstk27.mtx,parallel,-O3,guided,100,64,0.051117,8.591029,1.435298
bcsstk27.mtx,parallel,-O3,static,1000,1,0.025034,13.84405,2.312917
bcsstk27.mtx,parallel,-O3,static,100,2,0.021672,19.197083,3.207244
bcsstk27.mtx,parallel,-O3,static,100,4,0.01359,28.287467,4.725969
bcsstk27.mtx,parallel,-O3,static,100,8,0.01502,28.795625,4.810867
bcsstk27.mtx,parallel,-O3,static,100,16,0.019145,24.959218,4.169921
bcsstk27.mtx,parallel,-O3,static,100,32,0.027036,16.361151,2.733447
bcsstk27.mtx,parallel,-O3,static,100,64,0.041914,10.128065,1.692089
bcsstk27.mtx,sequential,-O3,none,none,1,0.02408,14.843106,2.479828
msdoor.mtx,parallel,-O3,dynamic,10000,1,11.295605,11.290865,1.893511
msdoor.mtx,parallel,-O3,dynamic,10000,2,5.908823,21.188249,3.553333
msdoor.mtx,parallel,-O3,dynamic,10000,4,6.070495,22.859248,3.833564
msdoor.mtx,parallel,-O3,dynamic,10000,8,4.373813,33.081668,5.547894
msdoor.mtx,parallel,-O3,dynamic,1000,16,4.770159,34.18385,5.732733
msdoor.mtx,parallel,-O3,dynamic,10,32,5.750799,23.059902,3.867214
msdoor.mtx,parallel,-O3,dynamic,10,64,6.864547,26.846682,4.502268
msdoor.mtx,parallel,-O3,guided,10,1,11.118388,11.39006,1.910147
msdoor.mtx,parallel,-O3,guided,10000,2,6.970668,20.545432,3.44553
msdoor.mtx,parallel,-O3,guided,1,4,5.769253,24.681031,4.139083
msdoor.mtx,parallel,-O3,guided,100,8,4.451346,35.49509,5.952632
msdoor.mtx,parallel,-O3,guided,10000,16,4.243708,34.849654,5.84439
msdoor.mtx,parallel,-O3,guided,10000,32,7.728958,30.145973,5.055569
msdoor.mtx,parallel,-O3,guided,10000,64,36.142874,13.612822,2.282911
msdoor.mtx,parallel,-O3,static,10,1,12.524438,10.14564,1.701454
msdoor.mtx,parallel,-O3,static,100,2,6.411362,19.622207,3.290702
msdoor.mtx,parallel,-O3,static,1000,4,5.350756,24.539311,4.115315
msdoor.mtx,parallel,-O3,static,1000,8,3.038216,52.410369,8.789374
msdoor.mtx,parallel,-O3,static,10000,16,2.48065,71.984304,12.071982
msdoor.mtx,parallel,-O3,static,10000,32,2.28157,141.145267,23.670481
msdoor.mtx,parallel,-O3,static,10000,64,3.937197,186.600096,31.29339
msdoor.mtx,sequential,-O3,none,none,1,11.418819,11.080643,1.858257
tmt_sym.mtx,parallel,-O3,dynamic,1000,1,5.591035,8.246978,1.041461
tmt_sym.mtx,parallel,-O3,dynamic,100,2,8.296752,9.776208,1.234578
tmt_sym.mtx,parallel,-O3,dynamic,10000,4,2.112794,27.868083,3.519293
tmt_sym.mtx,parallel,-O3,dynamic,10000,8,1.812935,51.79827,6.541292
tmt_sym.mtx,parallel,-O3,dynamic,10000,16,1.620364,92.235922,11.64792
tmt_sym.mtx,parallel,-O3,dynamic,100,32,1.848889,56.641027,7.152855
tmt_sym.mtx,parallel,-O3,dynamic,10,64,4.627896,10.00456,1.263416
tmt_sym.mtx,parallel,-O3,guided,10000,1,5.602861,8.256195,1.042626
tmt_sym.mtx,parallel,-O3,guided,10000,2,3.29802,15.239521,1.924508
tmt_sym.mtx,parallel,-O3,guided,10,4,1.782012,29.550683,3.731779
tmt_sym.mtx,parallel,-O3,guided,100,8,1.483583,52.348297,6.610752
tmt_sym.mtx,parallel,-O3,guided,1000,16,1.478576,63.064922,7.96409
tmt_sym.mtx,parallel,-O3,guided,10000,32,2.297854,87.816937,11.089873
tmt_sym.mtx,parallel,-O3,guided,1,64,12.719822,68.372049,8.634295
tmt_sym.mtx,parallel,-O3,static,10000,1,5.548811,8.324134,1.051205
tmt_sym.mtx,parallel,-O3,static,10000,2,3.395295,15.95023,2.014259
tmt_sym.mtx,parallel,-O3,static,10000,4,1.754761,32.325355,4.082175
tmt_sym.mtx,parallel,-O3,static,10000,8,0.861335,60.9145,7.692527
tmt_sym.mtx,parallel,-O3,static,10000,16,0.509167,112.172553,14.165598
tmt_sym.mtx,parallel,-O3,static,10000,32,0.305366,179.153323,22.624197
tmt_sym.mtx,parallel,-O3,static,10000,64,0.476122,245.879588,31.050656
tmt_sym.mtx,sequential,-O3,none,none,1,5.550575,8.36587,1.056476
