matrix,mode,opt_level,schedule,chunk_size,num_threads,p90_time,p90_bandwidth,p90_gflops
Andrews.mtx,sequential,-O3,none,none,1,0.702429,8.158698,1.173812
bcsstk27.mtx,sequential,-O3,none,none,1,0.02408,14.843106,2.479828
Hook_1498.mtx,sequential,-O3,none,none,1,35.519886,10.744394,1.780351
msdoor.mtx,sequential,-O3,none,none,1,11.418819,11.080643,1.858257
tmt_sym.mtx,sequential,-O3,none,none,1,5.550575,8.36587,1.056476
Andrews.mtx,parallel,-O3,static,1,1,0.748014,7.717349,1.110314
Andrews.mtx,parallel,-O3,static,1,2,1.020598,5.865152,0.843835
Andrews.mtx,parallel,-O3,static,1,4,0.574827,10.371749,1.49221
Andrews.mtx,parallel,-O3,static,1,8,0.5795,15.12576,2.176182
Andrews.mtx,parallel,-O3,static,1,16,0.636554,14.309784,2.058786
Andrews.mtx,parallel,-O3,static,1,32,0.346398,21.880272,3.147971
Andrews.mtx,parallel,-O3,static,1,64,0.234675,31.626956,4.550252
Andrews.mtx,parallel,-O3,static,10,1,0.78969,7.310324,1.051755
Andrews.mtx,parallel,-O3,static,10,2,0.623417,11.688445,1.681646
Andrews.mtx,parallel,-O3,static,10,4,0.365353,21.630479,3.112032
Andrews.mtx,parallel,-O3,static,10,8,0.281239,37.476293,5.391811
Andrews.mtx,parallel,-O3,static,10,16,0.202132,43.431984,6.248672
Andrews.mtx,parallel,-O3,static,10,32,0.126409,58.290362,8.386384
Andrews.mtx,parallel,-O3,static,10,64,0.117921,56.270224,8.095742
Andrews.mtx,parallel,-O3,static,100,1,0.779891,7.768749,1.11771
Andrews.mtx,parallel,-O3,static,100,2,0.467086,14.106121,2.029484
Andrews.mtx,parallel,-O3,static,100,4,0.238895,27.142556,3.90507
Andrews.mtx,parallel,-O3,static,100,8,0.145745,49.279612,7.089984
Andrews.mtx,parallel,-O3,static,100,16,0.087785,82.819914,11.915514
Andrews.mtx,parallel,-O3,static,100,32,0.074148,112.392121,16.170143
Andrews.mtx,parallel,-O3,static,100,64,0.123668,99.325306,14.290188
Andrews.mtx,parallel,-O3,static,1000,1,0.808192,7.152221,1.029008
Andrews.mtx,parallel,-O3,static,1000,2,0.424933,15.16162,2.181341
Andrews.mtx,parallel,-O3,static,1000,4,0.220418,27.673466,3.981453
Andrews.mtx,parallel,-O3,static,1000,8,0.132013,48.392228,6.962314
Andrews.mtx,parallel,-O3,static,1000,16,0.103998,88.001986,12.661072
Andrews.mtx,parallel,-O3,static,1000,32,0.060606,139.010901,19.999856
Andrews.mtx,parallel,-O3,static,1000,64,0.088787,121.621468,17.497993
Andrews.mtx,parallel,-O3,static,10000,1,0.784159,7.746348,1.114487
Andrews.mtx,parallel,-O3,static,10000,2,0.424003,13.90109,1.999986
Andrews.mtx,parallel,-O3,static,10000,4,0.292349,19.820896,2.851684
Andrews.mtx,parallel,-O3,static,10000,8,0.400639,18.105327,2.60486
Andrews.mtx,parallel,-O3,static,10000,16,0.197434,32.757746,4.712941
Andrews.mtx,parallel,-O3,static,10000,32,0.552488,14.673372,2.111095
Andrews.mtx,parallel,-O3,static,10000,64,0.6315,10.440993,1.502173
Andrews.mtx,parallel,-O3,dynamic,1,1,1.739716,3.419072,0.491911
Andrews.mtx,parallel,-O3,dynamic,1,2,7.664657,0.772006,0.11107
Andrews.mtx,parallel,-O3,dynamic,1,4,2.937364,1.951779,0.280807
Andrews.mtx,parallel,-O3,dynamic,1,8,5.361342,1.134045,0.163158
Andrews.mtx,parallel,-O3,dynamic,1,16,4.625988,1.259894,0.181264
Andrews.mtx,parallel,-O3,dynamic,1,32,4.561997,1.282513,0.184519
Andrews.mtx,parallel,-O3,dynamic,1,64,4.201174,1.372798,0.197508
Andrews.mtx,parallel,-O3,dynamic,10,1,0.903392,6.623349,0.952919
Andrews.mtx,parallel,-O3,dynamic,10,2,1.159573,5.172948,0.744245
Andrews.mtx,parallel,-O3,dynamic,10,4,0.67792,9.489198,1.365235
Andrews.mtx,parallel,-O3,dynamic,10,8,0.723696,8.405465,1.209315
Andrews.mtx,parallel,-O3,dynamic,10,16,0.514459,11.906139,1.712967
Andrews.mtx,parallel,-O3,dynamic,10,32,0.451565,13.172057,1.895097
Andrews.mtx,parallel,-O3,dynamic,10,64,0.42665,14.053907,2.021972
Andrews.mtx,parallel,-O3,dynamic,100,1,0.796271,7.278089,1.047118
Andrews.mtx,parallel,-O3,dynamic,100,2,0.524759,12.371232,1.779881
Andrews.mtx,parallel,-O3,dynamic,100,4,0.286316,23.957791,3.446869
Andrews.mtx,parallel,-O3,dynamic,100,8,0.214791,42.304159,6.086408
Andrews.mtx,parallel,-O3,dynamic,100,16,0.200343,67.830675,9.758973
Andrews.mtx,parallel,-O3,dynamic,100,32,0.202346,72.017696,10.361371
Andrews.mtx,parallel,-O3,dynamic,100,64,0.239659,66.920995,9.628095
Andrews.mtx,parallel,-O3,dynamic,1000,1,0.781059,7.480395,1.076224
Andrews.mtx,parallel,-O3,dynamic,1000,2,0.453496,14.252063,2.05048
Andrews.mtx,parallel,-O3,dynamic,1000,4,0.281572,27.673466,3.981453
Andrews.mtx,parallel,-O3,dynamic,1000,8,0.199604,46.212754,6.648748
Andrews.mtx,parallel,-O3,dynamic,1000,16,0.198341,75.284067,10.831312
Andrews.mtx,parallel,-O3,dynamic,1000,32,0.196075,92.287299,13.277612
Andrews.mtx,parallel,-O3,dynamic,1000,64,0.195145,67.714052,9.742195
Andrews.mtx,parallel,-O3,dynamic,10000,1,0.732565,7.819819,1.125057
Andrews.mtx,parallel,-O3,dynamic,10000,2,0.447321,14.309143,2.058693
Andrews.mtx,parallel,-O3,dynamic,10000,4,0.398111,19.834771,2.85368
Andrews.mtx,parallel,-O3,dynamic,10000,8,0.386762,32.956551,4.741544
Andrews.mtx,parallel,-O3,dynamic,10000,16,0.336385,31.630536,4.550766
Andrews.mtx,parallel,-O3,dynamic,10000,32,0.458217,29.244064,4.207419
Andrews.mtx,parallel,-O3,dynamic,10000,64,0.486183,23.616013,3.397696
Andrews.mtx,parallel,-O3,guided,1,1,0.784183,7.336568,1.055531
Andrews.mtx,parallel,-O3,guided,1,2,0.455904,14.91522,2.145891
Andrews.mtx,parallel,-O3,guided,1,4,0.247908,27.306898,3.928713
Andrews.mtx,parallel,-O3,guided,1,8,0.174642,46.336967,6.666619
Andrews.mtx,parallel,-O3,guided,1,16,0.18053,61.435764,8.838921
Andrews.mtx,parallel,-O3,guided,1,32,0.19455,52.460286,7.547596
Andrews.mtx,parallel,-O3,guided,1,64,0.261545,31.094098,4.473588
Andrews.mtx,parallel,-O3,guided,10,1,0.799918,7.317839,1.052836
Andrews.mtx,parallel,-O3,guided,10,2,0.438976,14.853626,2.13703
Andrews.mtx,parallel,-O3,guided,10,4,0.24128,27.858246,4.008037
Andrews.mtx,parallel,-O3,guided,10,8,0.180626,45.462137,6.540755
Andrews.mtx,parallel,-O3,guided,10,16,0.167393,69.037653,9.932624
Andrews.mtx,parallel,-O3,guided,10,32,0.200725,64.638796,9.29975
Andrews.mtx,parallel,-O3,guided,10,64,0.289655,39.03488,5.616048
Andrews.mtx,parallel,-O3,guided,100,1,0.78702,7.318989,1.053002
Andrews.mtx,parallel,-O3,guided,100,2,0.449491,14.813173,2.13121
Andrews.mtx,parallel,-O3,guided,100,4,0.253964,27.991179,4.027163
Andrews.mtx,parallel,-O3,guided,100,8,0.184321,50.205117,7.223139
Andrews.mtx,parallel,-O3,guided,100,16,0.152612,79.387205,11.421641
Andrews.mtx,parallel,-O3,guided,100,32,0.158071,88.01987,12.663645
Andrews.mtx,parallel,-O3,guided,100,64,0.231003,50.4037,7.25171
Andrews.mtx,parallel,-O3,guided,1000,1,0.778175,7.556912,1.087233
Andrews.mtx,parallel,-O3,guided,1000,2,0.444293,14.85371,2.137041
Andrews.mtx,parallel,-O3,guided,1000,4,0.270319,27.571563,3.966792
Andrews.mtx,parallel,-O3,guided,1000,8,0.175691,48.115646,6.922522
Andrews.mtx,parallel,-O3,guided,1000,16,0.183869,74.212379,10.677126
Andrews.mtx,parallel,-O3,guided,1000,32,0.202084,89.351127,12.855176
Andrews.mtx,parallel,-O3,guided,1000,64,0.220323,65.931378,9.485717
Andrews.mtx,parallel,-O3,guided,10000,1,0.736117,7.790523,1.120842
Andrews.mtx,parallel,-O3,guided,10000,2,0.471592,14.325869,2.0611
Andrews.mtx,parallel,-O3,guided,10000,4,0.355267,19.181383,2.759675
Andrews.mtx,parallel,-O3,guided,10000,8,0.478339,28.135227,4.047887
Andrews.mtx,parallel,-O3,guided,10000,16,0.527478,22.891328,3.293434
Andrews.mtx,parallel,-O3,guided,10000,32,0.459265,27.677607,3.982049
Andrews.mtx,parallel,-O3,guided,10000,64,0.385618,26.251831,3.776918
bcsstk27.mtx,parallel,-O3,static,1,1,0.026965,13.209002,2.20682
bcsstk27.mtx,parallel,-O3,static,1,2,0.044226,11.474053,1.916963
bcsstk27.mtx,parallel,-O3,static,1,4,0.04437,12.575013,2.100899
bcsstk27.mtx,parallel,-O3,static,1,8,0.044989,9.278918,1.550223
bcsstk27.mtx,parallel,-O3,static,1,16,0.040054,9.288911,1.551892
bcsstk27.mtx,parallel,-O3,static,1,32,0.049805,9.339463,1.560338
bcsstk27.mtx,parallel,-O3,static,1,64,0.073767,5.754749,0.961442
bcsstk27.mtx,parallel,-O3,static,10,1,0.025129,14.269515,2.383999
bcsstk27.mtx,parallel,-O3,static,10,2,0.036932,16.439061,2.746463
