matrix,mode,opt_level,schedule,chunk_size,num_threads,p90_time_perf,p90_L1_miss,p90_LLC_miss
Andrews.mtx,sequential,-O3,none,none,1,0.84343,1.21,7.161
bcsstk27.mtx,sequential,-O3,none,none,1,0.043249,0.25,2.993
Hook_1498.mtx,sequential,-O3,none,none,1,33.8377,0.27,26.468
msdoor.mtx,sequential,-O3,none,none,1,12.301135,0.27,23.194
tmt_sym.mtx,sequential,-O3,none,none,1,6.561446,0.26,36.13
Andrews.mtx,parallel,-O3,static,1,1,0.898385,1.18,5.021
Andrews.mtx,parallel,-O3,static,1,2,25.98989,1.26,7.258
Andrews.mtx,parallel,-O3,static,1,4,26.206541,1.39,9.221
Andrews.mtx,parallel,-O3,static,1,8,31.333923,1.54,10.275
Andrews.mtx,parallel,-O3,static,1,16,39.259171,1.571,13.685
Andrews.mtx,parallel,-O3,static,1,32,33.969856,1.43,12.188
Andrews.mtx,parallel,-O3,static,1,64,71.24958,1.262,13.093
Andrews.mtx,parallel,-O3,static,10,1,0.900507,1.18,7.477
Andrews.mtx,parallel,-O3,static,10,2,25.988078,1.221,11.495
Andrews.mtx,parallel,-O3,static,10,4,26.295137,1.241,17.746
Andrews.mtx,parallel,-O3,static,10,8,26.399112,1.241,15.743
Andrews.mtx,parallel,-O3,static,10,16,26.817417,1.26,19.559
Andrews.mtx,parallel,-O3,static,10,32,74.317765,1.242,16.333
Andrews.mtx,parallel,-O3,static,10,64,63.309646,0.98,13.033
Andrews.mtx,parallel,-O3,static,100,1,0.91443,1.18,6.791
Andrews.mtx,parallel,-O3,static,100,2,25.996375,1.191,10.972
Andrews.mtx,parallel,-O3,static,100,4,2.835417,1.2,15.521
Andrews.mtx,parallel,-O3,static,100,8,18.797278,1.2,17.741
Andrews.mtx,parallel,-O3,static,100,16,53.5043,1.182,14.991
Andrews.mtx,parallel,-O3,static,100,32,66.157889,1.054,12.583
Andrews.mtx,parallel,-O3,static,100,64,85.201383,0.931,13.309
Andrews.mtx,parallel,-O3,static,1000,1,0.907159,1.18,6.121
Andrews.mtx,parallel,-O3,static,1000,2,26.118565,1.18,13.541
Andrews.mtx,parallel,-O3,static,1000,4,25.957132,1.18,11.811
Andrews.mtx,parallel,-O3,static,1000,8,28.362846,1.181,14.808
Andrews.mtx,parallel,-O3,static,1000,16,33.874178,1.18,17.578
Andrews.mtx,parallel,-O3,static,1000,32,54.800463,1.068,14.416
Andrews.mtx,parallel,-O3,static,1000,64,64.014053,0.904,14.304
Andrews.mtx,parallel,-O3,static,10000,1,0.905872,1.18,8.018
Andrews.mtx,parallel,-O3,static,10000,2,25.819707,1.18,18.196
Andrews.mtx,parallel,-O3,static,10000,4,25.905513,1.18,19.428
Andrews.mtx,parallel,-O3,static,10000,8,25.961232,1.18,16.562
Andrews.mtx,parallel,-O3,static,10000,16,37.81879,1.16,19.78
Andrews.mtx,parallel,-O3,static,10000,32,50.974655,1.143,20.116
Andrews.mtx,parallel,-O3,static,10000,64,66.255021,0.931,20.186
Andrews.mtx,parallel,-O3,dynamic,1,1,2.043343,1.17,6.46
Andrews.mtx,parallel,-O3,dynamic,1,2,19.029641,1.341,9.55
Andrews.mtx,parallel,-O3,dynamic,1,4,26.000309,1.471,10.148
Andrews.mtx,parallel,-O3,dynamic,1,8,44.411945,1.55,11.729
Andrews.mtx,parallel,-O3,dynamic,1,16,37.071275,1.592,13.186
Andrews.mtx,parallel,-O3,dynamic,1,32,61.37042,1.501,9.89
Andrews.mtx,parallel,-O3,dynamic,1,64,107.046199,1.321,8.889
Andrews.mtx,parallel,-O3,dynamic,10,1,1.073528,1.18,10.038
Andrews.mtx,parallel,-O3,dynamic,10,2,3.610063,1.23,13.744
Andrews.mtx,parallel,-O3,dynamic,10,4,25.993133,1.25,19.537
Andrews.mtx,parallel,-O3,dynamic,10,8,26.898956,1.251,22.313
Andrews.mtx,parallel,-O3,dynamic,10,16,39.369989,1.251,20.902
Andrews.mtx,parallel,-O3,dynamic,10,32,33.278561,1.14,17.849
Andrews.mtx,parallel,-O3,dynamic,10,64,75.179005,0.992,15.107
Andrews.mtx,parallel,-O3,dynamic,100,1,0.909877,1.18,7.282
Andrews.mtx,parallel,-O3,dynamic,100,2,11.359596,1.19,12.006
Andrews.mtx,parallel,-O3,dynamic,100,4,25.995731,1.2,17.012
