num_procs,rank,matrix,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
1,0,Andrews,0.0017957448,7.388999999999999e-07,410077,0,820154,0.0017950059
1,0,Hook_1498,0.11231708480000001,2.623e-06,31207734,0,62415468,0.11231446180000002
1,0,bcsstk27,9.620149999999999e-05,4.77e-07,28675,0,57350,9.572449999999999e-05
1,0,msdoor,0.03500073,3.1228999999999998e-06,10328399,0,20656798,0.0349976071
1,0,tmt_sym,0.012527823300000001,2.0023999999999997e-06,2903837,0,5807674,0.012525820900000002
2,0,Andrews,0.0029496432999999997,0.0012801884,202663,53459,405326,0.0016694548999999998
2,0,Hook_1498,0.2114574912,0.09773016009999999,15603136,7596746,31206272,0.1137273311
2,0,bcsstk27,0.0001766916,0.00011725470000000001,14624,7303,29248,5.9436899999999987e-05
2,0,msdoor,0.046616602,0.0218286041,5144923,2512743,10289846,0.0247879979
2,0,tmt_sym,0.019598937,0.007282329,1452176,725992,2904352,0.012316608
2,1,Andrews,0.0023357867,0.0006291389999999998,207414,54185,414828,0.0017066477000000002
2,1,Hook_1498,0.2029086348,0.0941008572,15604598,7598405,31209196,0.10880777759999999
2,1,bcsstk27,0.00014510199999999998,9.787109999999998e-05,14051,6730,28102,4.72309e-05
2,1,msdoor,0.0460423949,0.022152233,5183476,2545401,10366952,0.023890161899999998
2,1,tmt_sym,0.0184387206,0.0064468864,1451661,725736,2903322,0.011991834199999999
4,0,Andrews,0.0019072531999999999,0.0006778002999999999,101144,56607,202288,0.0012294529000000001
4,0,Hook_1498,0.1472248558,0.08303759059999999,7802548,5692709,15605096,0.06418726520000001
4,0,bcsstk27,0.00011618149999999999,8.924049999999999e-05,7317,5395,14634,2.6941e-05
4,0,msdoor,0.0351728441,0.018627953399999994,2558744,1871027,5117488,0.01654489070000001
4,0,tmt_sym,0.0109261993,0.0056475881999999995,726120,453905,1452240,0.0052786111
4,1,Andrews,0.0018604997,0.0006875036999999999,104188,58254,208376,0.0011729960000000002
4,1,Hook_1498,0.14976532469999998,0.0868382457,7800863,5692751,15601726,0.06292707899999998
4,1,bcsstk27,0.0001238584,9.66788e-05,7016,5098,14032,2.7179599999999993e-05
4,1,msdoor,0.0350952147,0.0193611384,2576982,1887950,5153964,0.015734076300000004
4,1,tmt_sym,0.0103051901,0.005013466299999999,725844,453588,1451688,0.005291723800000001
4,2,Andrews,0.0017993928999999998,0.0006327387999999999,101519,56581,203038,0.0011666540999999999
4,2,Hook_1498,0.1647211793,0.09183635729999999,7800588,5690589,15601176,0.072884822
4,2,bcsstk27,0.0001422878,0.0001170157,7307,5390,14614,2.5272100000000005e-05
4,2,msdoor,0.0333350185,0.017746997199999996,2586179,1899120,5172358,0.015588021300000005
4,2,tmt_sym,0.0108697651,0.005538249099999999,726056,453802,1452112,0.0053315160000000006
4,3,Andrews,0.0017655377,0.0006444695999999999,103226,57356,206452,0.0011210681
4,3,Hook_1498,0.14936003709999998,0.0900531767,7803735,5691972,15607470,0.05930686039999998
4,3,bcsstk27,0.000113726,8.964509999999999e-05,7035,5115,14070,2.408090000000001e-05
4,3,msdoor,0.0324278118,0.017954325799999997,2606494,1917833,5212988,0.014473486
4,3,tmt_sym,0.010291314,0.004947233299999999,725817,453313,1451634,0.0053440807
8,0,Andrews,0.0010628225000000001,0.0005479575,50623,35617,101246,0.0005148650000000001
8,0,Hook_1498,0.0867348673,0.0583746191,3898612,3308781,7797224,0.028360248200000007
8,0,bcsstk27,0.0001407862,0.0001270059,3667,3137,7334,1.3780299999999987e-05
8,0,msdoor,0.0259482145,0.0171787978,1281251,1093631,2562502,0.008769416700000001
8,0,tmt_sym,0.0068078513999999994,0.0044596437,362930,251661,725860,0.0023482076999999995
8,1,Andrews,0.0009893890999999998,0.0005030868,51802,36707,103604,0.00048630229999999987
8,1,Hook_1498,0.0988481762,0.068355012,3895764,3306649,7791528,0.030493164199999992
8,1,bcsstk27,0.0001299857,0.000117064,3509,2981,7018,1.2921699999999988e-05
8,1,msdoor,0.0315215592,0.0182384014,1290741,1102943,2581482,0.0132831578
8,1,tmt_sym,0.0063413142999999995,0.0039309743999999995,363031,249543,726062,0.0024103399
8,2,Andrews,0.0010090354,0.0005429743,50656,35748,101312,0.00046606110000000007
8,2,Hook_1498,0.0880046365,0.0594872232,3896192,3307151,7792384,0.028517413299999995
8,2,bcsstk27,0.00013940370000000002,0.0001256463,3641,3116,7282,1.3757400000000012e-05
8,2,msdoor,0.0277885911,0.017093324899999998,1295807,1108342,2591614,0.010695266200000001
8,2,tmt_sym,0.0064027073,0.0038979051999999998,363275,247632,726550,0.0025048021000000005
8,3,Andrews,0.0010323764,0.0005438328,51507,36280,103014,0.0004885435999999999
8,3,Hook_1498,0.093428159,0.0620573756,3900463,3310430,7800926,0.0313707834
8,3,bcsstk27,0.0001050948,9.288809999999999e-05,3500,2973,7000,1.2206700000000006e-05
8,3,msdoor,0.025434946899999998,0.0157426592,1305906,1118212,2611812,0.0096922877
8,3,tmt_sym,0.0062267782,0.0037772177999999997,362540,249164,725080,0.0024495604
8,4,Andrews,0.0010631565,0.0005594967,50521,35725,101042,0.0005036598
8,4,Hook_1498,0.0898139713,0.060440921800000005,3903936,3313492,7807872,0.029373049499999998
8,4,bcsstk27,0.0001260039,0.00010907629999999999,3650,3122,7300,1.692760000000001e-05
8,4,msdoor,0.0278268333,0.0169353487,1277493,1092082,2554986,0.010891484600000001
8,4,tmt_sym,0.0064095498,0.0039265873,363190,251766,726380,0.0024829624999999998
8,5,Andrews,0.0010821821,0.0005937577999999999,52386,37119,104772,0.0004884243
8,5,Hook_1498,0.0914422513,0.064746976,3905099,3314954,7810198,0.0266952753
8,5,bcsstk27,0.0001194957,0.0001066207,3507,2978,7014,1.2875000000000001e-05
8,5,msdoor,0.049058913999999926,0.03876299829999993,1286241,1100460,2572482,0.010295915699999998
8,5,tmt_sym,0.0065243008,0.0040984867,362813,249458,725626,0.0024258140999999997
8,6,Andrews,0.0010084863,0.0005329133999999999,50863,35902,101726,0.00047557290000000004
8,6,Hook_1498,0.09768962899999997,0.060929274699999994,3904396,3313720,7808792,0.03676035429999998
8,6,bcsstk27,0.00013077300000000002,0.00011766,3666,3135,7332,1.3113000000000022e-05
8,6,msdoor,0.0300145626,0.017308521599999998,1290372,1105085,2580744,0.012706041000000001
8,6,tmt_sym,0.0069861168999999996,0.004432583,362781,247182,725562,0.002553533899999999
8,7,Andrews,0.0011425253999999998,0.0006582734,51719,36647,103438,0.0004842519999999998
8,7,Hook_1498,0.19549643989999996,0.08750863119999994,3903272,3312570,7806544,0.10798780870000002
8,7,bcsstk27,0.00010805109999999999,9.551009999999999e-05,3535,3004,7070,1.2541e-05
8,7,msdoor,0.0260091545,0.017061113999999995,1300588,1114832,2601176,0.008948040500000004
8,7,tmt_sym,0.0064640999999999995,0.0038562061999999997,363277,249681,726554,0.0026078938
16,0,Andrews,0.0006993294999999999,0.0005012507999999999,25418,19812,50836,0.0001980787
16,0,Hook_1498,0.0645331621,0.049565625599999996,1948584,1763661,3897168,0.014967536500000003
16,0,bcsstk27,0.00014259789999999999,0.00013566,1838,1691,3676,6.937899999999973e-06
16,0,msdoor,0.021447062399999998,0.014821767699999999,640437,584179,1280874,0.006625294699999999
16,0,tmt_sym,0.0045211075,0.0034003492999999997,181270,131233,362540,0.0011207582
16,1,Andrews,0.0009641170999999999,0.0007543561999999999,25973,20247,51946,0.0002097609
16,1,Hook_1498,0.2785401819,0.2643236872,1946145,1761706,3892290,0.014216494700000026
16,1,bcsstk27,0.0001313928,0.0001245017,1756,1610,3512,6.891100000000006e-06
16,1,msdoor,0.04072909309999993,0.03601067029999993,644599,587876,1289198,0.004718422800000004
16,1,tmt_sym,0.004701518599999999,0.0035442115,181630,131157,363260,0.0011573070999999994
16,2,Andrews,0.0006960155,0.0004899501,25361,19701,50722,0.0002060654
16,2,Hook_1498,0.07056610569999999,0.056900429499999995,1946169,1761720,3892338,0.013665676199999997
16,2,bcsstk27,0.0001531603,0.0001462463,1830,1684,3660,6.914000000000009e-06
16,2,msdoor,0.0199883457,0.0151673076,646874,589801,1293748,0.004821038099999999
16,2,tmt_sym,0.004662919,0.0034710166999999998,181722,130102,363444,0.0011919023
16,3,Andrews,0.0007189277,0.0005145553,25702,20023,51404,0.0002043724
16,3,Hook_1498,0.10765156759999994,0.09440743899999994,1947798,1763230,3895596,0.013244128600000002
16,3,bcsstk27,0.0001504901,0.000144076,1739,1594,3478,6.4141000000000035e-06
16,3,msdoor,0.0181783919,0.0146467925,651848,595039,1303696,0.0035315994
16,3,tmt_sym,0.0045517683,0.0034786700999999997,181131,129518,362262,0.0010730982000000003
16,4,Andrews,0.0006707430999999999,0.00047047129999999997,25296,19731,50592,0.00020027179999999997
16,4,Hook_1498,0.0654211755,0.050586294799999994,1949220,1764802,3898440,0.014834880700000004
16,4,bcsstk27,0.0001364227,0.00012950870000000002,1828,1681,3656,6.9139999999999816e-06
16,4,msdoor,0.020137786799999998,0.014638351999999999,637904,581739,1275808,0.0054994347999999995
16,4,tmt_sym,0.0043189759999999995,0.0029936555,181624,130619,363248,0.0013253204999999994
16,5,Andrews,0.0008776662999999999,0.0006710526999999999,26090,20417,52180,0.0002066136
16,5,Hook_1498,0.11500318029999995,0.10101222949999994,1950828,1766242,3901656,0.013990950800000013
16,5,bcsstk27,0.00012707689999999998,0.000120616,1747,1599,3494,6.460899999999984e-06
16,5,msdoor,0.019974851499999998,0.015630841,642166,585473,1284332,0.004344010499999999
16,5,tmt_sym,0.0045552256,0.0033608438,181466,129753,362932,0.0011943817999999998
16,6,Andrews,0.0007093663999999999,0.0005136725999999999,25361,19736,50722,0.00019569379999999999
16,6,Hook_1498,0.10357727979999992,0.09002258779999991,1951128,1766131,3902256,0.013554692000000007
16,6,bcsstk27,0.000155663,0.00014877289999999999,1833,1684,3666,6.890100000000017e-06
16,6,msdoor,0.0202203514,0.0152685403,644374,588238,1288748,0.0049518111
16,6,tmt_sym,0.0046172615,0.0034873489000000002,181348,129810,362696,0.0011299125999999996
16,7,Andrews,0.0007050514999999999,0.0005055193,25792,20161,51584,0.00019953219999999995
16,7,Hook_1498,0.09312279219999994,0.08230421569999993,1952183,1766826,3904366,0.01081857650000001
16,7,bcsstk27,0.0001563073,0.0001496552,1774,1625,3548,6.65210000000001e-06
16,7,msdoor,0.0188675168,0.0153592585,649472,593567,1298944,0.0035082583000000007
16,7,tmt_sym,0.004458021800000001,0.0034305334,181639,131128,363278,0.0010274884000000006
16,8,Andrews,0.000685477,0.0004865646,25205,19622,50410,0.0001989124
16,8,Hook_1498,0.0715752837,0.0567347522,1950028,1764762,3900056,0.014840531500000004
16,8,bcsstk27,0.0001339432,0.0001263142,1829,1682,3658,7.628999999999991e-06
16,8,msdoor,0.0202434066,0.0147702214,640814,583523,1281628,0.005473185199999999
16,8,tmt_sym,0.0044294596,0.0033091544,181660,131605,363320,0.0011203052000000003
16,9,Andrews,0.0010750054,0.0008660791,25829,20214,51658,0.00020892630000000011
16,9,Hook_1498,0.2622950791,0.2483515738,1949619,1764519,3899238,0.013943505299999992
16,9,bcsstk27,0.0001292469,0.0001225709,1753,1608,3506,6.676000000000002e-06
16,9,msdoor,0.0197400329,0.0157360316,646142,589291,1292284,0.004004001300000001
16,9,tmt_sym,0.0044077638,0.0032453776,181401,131012,362802,0.0011623861999999997
16,10,Andrews,0.0007171873,0.0005213978,25295,19711,50590,0.00019578949999999999
16,10,Hook_1498,0.09947683769999993,0.08548412289999993,1950023,1764878,3900046,0.0139927148
16,10,bcsstk27,0.00015962150000000002,0.0001529217,1811,1667,3622,6.699800000000013e-06
16,10,msdoor,0.0191908361,0.0147012476,648933,592642,1297866,0.004489588500000001
16,10,tmt_sym,0.0044595007,0.0033109664,181553,129899,363106,0.0011485342999999998
