num_procs,rank,matrix,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
1,0,Andrews,0.002005290999999996,3.1467e-06,410077,0,820154,0.0020021442999999957
1,0,Hook_1498,0.0654047252,8.392099999999994e-06,31207734,0,62415468,0.0653963331
1,0,bcsstk27,4.944789999999997e-05,9.295999999999993e-07,28675,0,57350,4.851829999999997e-05
1,0,msdoor,0.0335322856,5.6032e-06,10328399,0,20656798,0.0335266824
1,0,tmt_sym,0.030467892099999998,8.368299999999999e-06,2903837,0,5807674,0.0304595238
2,0,Andrews,0.002842688899999995,0.0007539744999999999,202663,53459,405326,0.002088714399999995
2,0,Hook_1498,0.1646465297,0.13190782029999998,15603136,7596746,31206272,0.03273870940000001
2,0,bcsstk27,0.00011517990000000001,9.28165e-05,14624,7303,29248,2.2363400000000017e-05
2,0,msdoor,0.027832293100000002,0.020985889799999997,5144923,2512743,10289846,0.006846403300000005
2,0,tmt_sym,0.0255772115,0.010552692499999995,1452176,725992,2904352,0.015024519000000004
2,1,Andrews,0.0016608474,0.000560403,207414,54185,414828,0.0011004444
2,1,Hook_1498,0.1720090385,0.122748446,15604598,7598405,31209196,0.04926059249999999
2,1,bcsstk27,0.0002932547999999997,0.0001569271,14051,6730,28102,0.0001363276999999997
2,1,msdoor,0.0354155541,0.0220815181,5183476,2545401,10366952,0.013334036000000004
2,1,tmt_sym,0.032734822899999995,0.0239327188,1451661,725736,2903322,0.008802104099999996
4,0,Andrews,0.0024912599999999956,0.0007067676,101144,56607,202288,0.0017844923999999957
4,0,Hook_1498,0.12236714330000001,0.0939581396,7802548,5692709,15605096,0.028409003700000005
4,0,bcsstk27,9.41989e-05,8.165820000000001e-05,7317,5395,14634,1.2540699999999993e-05
4,0,msdoor,0.025152206699999995,0.020256757499999997,2558744,1871027,5117488,0.004895449199999999
4,0,tmt_sym,0.0183523897,0.0160252336,726120,453905,1452240,0.0023271560999999982
4,1,Andrews,0.0015843633999999998,0.0008380891,104188,58254,208376,0.0007462742999999998
4,1,Hook_1498,0.1065067288,0.0793179748,7800863,5692751,15601726,0.02718875400000001
4,1,bcsstk27,0.00013780569999999998,9.85618e-05,7016,5098,14032,3.9243899999999985e-05
4,1,msdoor,0.026433610799999997,0.017353677799999998,2576982,1887950,5153964,0.009079932999999998
4,1,tmt_sym,0.013728905099999997,0.007570815099999997,725844,453588,1451688,0.006158090000000001
4,2,Andrews,0.0010673757999999998,0.0007199529,101519,56581,203038,0.0003474228999999998
4,2,Hook_1498,0.1068721058,0.09323699510000001,7800588,5690589,15601176,0.013635110699999994
4,2,bcsstk27,0.00012185529999999997,0.00010518989999999998,7307,5390,14614,1.666539999999999e-05
4,2,msdoor,0.023153972899999996,0.018552279399999996,2586179,1899120,5172358,0.0046016935
4,2,tmt_sym,0.007486843799999999,0.0054786917,726056,453802,1452112,0.0020081520999999996
4,3,Andrews,0.0011946204,0.0008659836000000001,103226,57356,206452,0.00032863680000000004
4,3,Hook_1498,0.10174806139999999,0.08867597599999999,7803735,5691972,15607470,0.013072085400000003
4,3,bcsstk27,9.753689999999999e-05,8.654609999999999e-05,7035,5115,14070,1.0990800000000003e-05
