num_procs,rank,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
1,0,0.0009956125999999984,1.2396999999999998e-06,500109,0,1000218,0.0009943728999999984
2,0,0.0031414273999999997,0.0024957892,500109,249636,1000218,0.0006456381999999997
2,1,0.0037270785,0.0030543568,499877,250129,999754,0.0006727217000000001
4,0,0.005000972299999999,0.004059838999999999,500109,375097,1000218,0.0009411332999999999
4,1,0.004842019499999999,0.0039987804,499877,374927,999754,0.0008432390999999996
4,2,0.005841707799999999,0.0044371602999999996,499748,374720,999496,0.0014045474999999997
4,3,0.0062873604,0.0048665042,499898,374377,999796,0.0014208562
8,0,0.1058806893,0.104076552,500109,437339,1000218,0.0018041372999999944
8,1,0.1041616916,0.1027315136,499877,437248,999754,0.0014301779999999903
8,2,0.10216248,0.0979440209,499748,437445,999496,0.004218459100000002
8,3,0.1050201177,0.10139482,499898,437328,999796,0.003625297700000002
8,4,0.0798119541,0.0780194763,499887,437529,999774,0.0017924777999999975
8,5,0.0794367315,0.0780136828,500177,437814,1000354,0.0014230486999999986
8,6,0.08840036379999999,0.0838601115,499961,437495,999922,0.004540252299999992
8,7,0.084826469,0.0806146383,500058,437467,1000116,0.004211830700000002
16,0,0.11924755549999999,0.10950665459999999,500109,468852,1000218,0.009740900900000002
16,1,0.0933980701,0.08878531419999999,499877,468467,999754,0.004612755900000001
16,2,0.1157185556,0.08980846409999999,499748,468444,999496,0.02591009150000001
16,3,0.1099554064,0.0872738836,499898,468547,999796,0.022681522799999992
16,4,0.0875612019,0.0633356807,499887,468827,999774,0.024225521200000003
16,5,0.09476449479999999,0.0864527227,500177,468950,1000354,0.00831177209999999
16,6,0.11321153599999999,0.08947584649999998,499961,468796,999922,0.023735689500000004
16,7,0.0930741785,0.0884137389,500058,468786,1000116,0.0046604395999999965
16,8,0.06456890099999998,0.05952670609999999,500107,468851,1000214,0.005042194899999991
16,9,0.1019901034,0.0922332764,500244,468967,1000488,0.00975682700000001
16,10,0.09270646569999998,0.06930849589999999,499829,468882,999658,0.023397969799999987
16,11,0.0892041448,0.0847480058,500017,468859,1000034,0.004456138999999998
16,12,0.06547148209999999,0.06046416779999999,500307,469078,1000614,0.005007314300000003
16,13,0.06631531709999999,0.061501168999999994,499794,468657,999588,0.004814148099999999
16,14,0.0848717214,0.06111722029999999,500214,469148,1000428,0.023754501100000013
16,15,0.061821985,0.0575000527,499809,468597,999618,0.0043219323000000046
32,0,0.1313236716,0.0962034228,500109,484522,1000218,0.035120248800000003
32,1,0.13192734720000002,0.0985059262,499877,484348,999754,0.03342142100000002
32,2,0.15892627269999998,0.1251699207,499748,484108,999496,0.03375635199999999
32,3,0.1308557988,0.0964681145,499898,484190,999796,0.03438768430000001
32,4,0.0994754313,0.0644731048,499887,484380,999774,0.0350023265
32,5,0.1271029949,0.0960609912,500177,484571,1000354,0.031042003699999987
32,6,0.161638331,0.1280313493,499961,484367,999922,0.03360698169999998
32,7,0.0993553162,0.0649891374,500058,484465,1000116,0.03436617880000001
32,8,0.1308696035,0.07074768579999999,500107,484529,1000214,0.0601219177
32,9,0.1338143591,0.0978089575,500244,484581,1000488,0.0360054016
32,10,0.1307795286,0.0960598231,499829,484498,999658,0.0347197055
32,11,0.10256226019999999,0.0654166464,500017,484400,1000034,0.03714561379999999
32,12,0.0992740396,0.064243603,500307,484629,1000614,0.035030436600000006
32,13,0.13029184319999998,0.0961780552,499794,484204,999588,0.03411378799999998
32,14,0.13058938949999999,0.09604678109999999,500214,484715,1000428,0.034542608399999994
32,15,0.09818255919999999,0.03858361229999999,499809,484245,999618,0.0595989469
32,16,0.0994070533,0.0645318989,499904,484198,999808,0.03487515440000001
32,17,0.1339909557,0.09787952899999999,500225,484438,1000450,0.036111426700000004
32,18,0.13082301640000002,0.0960447792,500038,484163,1000076,0.03477823720000002
32,19,0.13051142740000002,0.0961395026,500070,484541,1000140,0.03437192480000002
32,20,0.0992415902,0.0641509056,499847,484274,999694,0.03509068459999999
32,21,0.12942059009999998,0.0948398349,500015,484361,1000030,0.03458075519999998
32,22,0.0990321396,0.0642334459,499895,484280,999790,0.034798693699999994
32,23,0.1309754369,0.0966216324,499931,484399,999862,0.03435380449999999
32,24,0.0994355916,0.0644881967,499933,484137,999866,0.0349473949
32,25,0.1319066287,0.0973626614,500163,484658,1000326,0.034543967300000006
32,26,0.0989334825,0.06408927449999999,500146,484514,1000292,0.034844208000000015
32,27,0.0993275402,0.06497466589999999,499987,484445,999974,0.0343528743
32,28,0.0992890836,0.0642925499,500038,484376,1000076,0.0349965337
32,29,0.09865098039999999,0.0651447531,499921,484302,999842,0.0335062273
32,30,0.0987910271,0.064045405,500074,484471,1000148,0.0347456221
32,31,0.0988862279,0.0645188807,499871,484170,999742,0.034367347199999995
64,0,0.45248942379999996,0.3219909425,500109,492321,1000218,0.13049848129999997
64,1,0.38477559110000004,0.26426591839999997,499877,492195,999754,0.12050967270000007
64,2,0.3854230166,0.2631164312,499748,491924,999496,0.1223065854
64,3,0.4488814357,0.3240540031,499898,492124,999796,0.12482743260000001
64,4,0.3926324602,0.26359748829999996,499887,492096,999774,0.12903497190000002
64,5,0.33496046109999994,0.258544326,500177,492473,1000354,0.07641613509999995
64,6,0.3847182513,0.2566043856,499961,492122,999922,0.1281138657
64,7,0.444467926,0.31686499160000003,500058,492322,1000116,0.12760293439999998
64,8,0.39259254899999996,0.26357035599999995,500107,492374,1000214,0.129022193
64,9,0.3259825466,0.2583985325,500244,492497,1000488,0.06758401409999998
64,10,0.3215537073,0.19907500759999996,499829,492191,999658,0.12247869970000003
64,11,0.3851800446,0.26293523329999996,500017,492314,1000034,0.12224481130000003
64,12,0.3859115601,0.2564735414,500307,492499,1000614,0.1294380187
64,13,0.3412212614,0.2582844254,499794,492017,999588,0.08293683599999996
64,14,0.3202575206,0.1921178576,500214,492521,1000428,0.12813966300000001
64,15,0.3843110324,0.2563762192,499809,491991,999618,0.1279348132
64,16,0.39345679269999995,0.2657346967,499904,491913,999808,0.12772209599999995
64,17,0.3403229475,0.2610123638,500225,492398,1000450,0.07931058369999999
64,18,0.3272572759,0.19881811179999997,500038,491949,1000076,0.1284391641
64,19,0.3856419804,0.26313145169999996,500070,492341,1000140,0.12251052870000001
64,20,0.3840482711,0.25573577919999996,499847,492172,999694,0.12831249190000005
64,21,0.3205893038,0.20211119619999998,500015,492143,1000030,0.11847810760000002
64,22,0.2576741695,0.1350103613,499895,492108,999790,0.1226638082
64,23,0.32982299369999996,0.2560740712,499931,492218,999862,0.07374892249999998
64,24,0.3425616027,0.19973475889999998,499933,492024,999866,0.14282684380000005
64,25,0.32757203599999996,0.2490065098,500163,492490,1000326,0.07856552619999996
64,26,0.3208132265,0.1922394274,500146,492276,1000292,0.1285737991
64,27,0.38471477060000003,0.2564777852,499987,492151,999974,0.12823698540000006
64,28,0.32169346769999996,0.19331810489999998,500038,492134,1000076,0.12837536279999998
64,29,0.2692710163,0.19481825849999998,499921,492039,999842,0.07445275780000002
64,30,0.26956021809999997,0.1926251654,500074,492186,1000148,0.07693505269999998
64,31,0.3840106969,0.25609548130000004,499871,492070,999742,0.12791521559999997
64,32,0.39343960299999997,0.25642936260000004,500042,492163,1000084,0.13701024039999993
64,33,0.3258764739,0.2562556984,500142,492480,1000284,0.06962077550000001
64,34,0.38476133339999996,0.2561407805,500135,492315,1000270,0.12862055289999996
64,35,0.3857051133,0.2573430299,500089,492327,1000178,0.1283620834
64,36,0.3821883442,0.2564504148,500031,492197,1000062,0.12573792939999995
64,37,0.3220832351,0.194270945,500242,492471,1000484,0.12781229009999998
64,38,0.3837492223,0.25611150239999997,500248,492340,1000496,0.12763771990000006
64,39,0.3298548461,0.2561121944,500001,492261,1000002,0.0737426517
64,40,0.4455861572,0.317398024,500142,492252,1000284,0.1281881332
64,41,0.3118923668,0.2434723616,500268,492503,1000536,0.0684200052
64,42,0.3843065263,0.2560940262,499740,491992,999480,0.12821250010000002
64,43,0.3841203211,0.2562431339,499881,492108,999762,0.12787718720000002
64,44,0.3844746348,0.2535067554,500170,492425,1000340,0.1309678794
64,45,0.26336040489999996,0.1926434041,500249,492534,1000498,0.07071700079999996
64,46,0.3208432432,0.1925351378,500151,492563,1000302,0.1283081054
64,47,0.3210634947,0.19890751799999998,499936,492186,999872,0.12215597670000003
64,48,0.4457064388,0.3174672368,499937,492174,999874,0.128239202
64,49,0.3117890124,0.19416279779999998,500181,492367,1000362,0.11762621460000003
64,50,0.3847742079,0.2564899687,499732,491852,999464,0.12828423919999998
64,51,0.38433792629999997,0.2564369437,500031,492316,1000062,0.1279009826
64,52,0.3849881414,0.2556670191,499829,491930,999658,0.12932112229999998
64,53,0.2626634119,0.19509494289999998,500111,492435,1000222,0.06756846899999999
64,54,0.3210520263,0.19296360029999998,499939,492118,999878,0.12808842600000003
64,55,0.3211686612,0.19282152679999998,500021,492209,1000042,0.1283471344
64,56,0.44834342,0.3193299528,499810,492057,999620,0.1290134672
