rank,num_procs,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,matrix
0,1,0,0.001626492,0.000000715,410077,0,820154,Andrews
0,1,1,0.001622677,0.000000954,410077,0,820154,Andrews
0,1,2,0.001608133,0.000000954,410077,0,820154,Andrews
0,1,3,0.001605749,0.000000715,410077,0,820154,Andrews
0,1,4,0.001634836,0.000000477,410077,0,820154,Andrews
0,1,5,0.001657248,0.000000715,410077,0,820154,Andrews
0,1,6,0.001660109,0.000000715,410077,0,820154,Andrews
0,1,7,0.001651049,0.000000477,410077,0,820154,Andrews
0,1,8,0.001661062,0.000000715,410077,0,820154,Andrews
0,1,9,0.001659870,0.000000715,410077,0,820154,Andrews
0,2,0,0.001807451,0.000299692,202663,53459,405326,Andrews
0,2,1,0.001802921,0.000301600,202663,53459,405326,Andrews
0,2,2,0.001802683,0.000298977,202663,53459,405326,Andrews
0,2,3,0.001795769,0.000293016,202663,53459,405326,Andrews
0,2,4,0.001805305,0.000301600,202663,53459,405326,Andrews
0,2,5,0.001796007,0.000296116,202663,53459,405326,Andrews
0,2,6,0.001805782,0.000302315,202663,53459,405326,Andrews
0,2,7,0.001798868,0.000298500,202663,53459,405326,Andrews
0,2,8,0.001800060,0.000299215,202663,53459,405326,Andrews
0,2,9,0.001804113,0.000294447,202663,53459,405326,Andrews
1,2,0,0.001936436,0.000304222,207414,54185,414828,Andrews
1,2,1,0.001968622,0.000306129,207414,54185,414828,Andrews
1,2,2,0.001938105,0.000303507,207414,54185,414828,Andrews
1,2,3,0.001931667,0.000297546,207414,54185,414828,Andrews
1,2,4,0.001936674,0.000306845,207414,54185,414828,Andrews
1,2,5,0.001928329,0.000300884,207414,54185,414828,Andrews
1,2,6,0.001937628,0.000306606,207414,54185,414828,Andrews
1,2,7,0.001934528,0.000303030,207414,54185,414828,Andrews
1,2,8,0.001932859,0.000303507,207414,54185,414828,Andrews
1,2,9,0.001933575,0.000299454,207414,54185,414828,Andrews
0,4,0,0.001629353,0.000529289,101144,56607,202288,Andrews
0,4,1,0.001326561,0.000290155,101144,56607,202288,Andrews
0,4,2,0.001352310,0.000264883,101144,56607,202288,Andrews
0,4,3,0.001351357,0.000298262,101144,56607,202288,Andrews
0,4,4,0.001354456,0.000284672,101144,56607,202288,Andrews
0,4,5,0.001368999,0.000300646,101144,56607,202288,Andrews
0,4,6,0.001302958,0.000260115,101144,56607,202288,Andrews
0,4,7,0.001325607,0.000293016,101144,56607,202288,Andrews
0,4,8,0.001323462,0.000290394,101144,56607,202288,Andrews
0,4,9,0.001332521,0.000297070,101144,56607,202288,Andrews
1,4,0,0.001593351,0.000531673,104188,58254,208376,Andrews
1,4,1,0.001336098,0.000283003,104188,58254,208376,Andrews
1,4,2,0.001321793,0.000272036,104188,58254,208376,Andrews
1,4,3,0.001317263,0.000260353,104188,58254,208376,Andrews
1,4,4,0.001328230,0.000275135,104188,58254,208376,Andrews
1,4,5,0.001335382,0.000280857,104188,58254,208376,Andrews
1,4,6,0.001331091,0.000277042,104188,58254,208376,Andrews
1,4,7,0.001352310,0.000295162,104188,58254,208376,Andrews
1,4,8,0.001342058,0.000285387,104188,58254,208376,Andrews
1,4,9,0.001365900,0.000303984,104188,58254,208376,Andrews
2,4,0,0.001508951,0.000462294,101519,56581,203038,Andrews
2,4,1,0.001342297,0.000304937,101519,56581,203038,Andrews
2,4,2,0.001311302,0.000264406,101519,56581,203038,Andrews
2,4,3,0.001386881,0.000331402,101519,56581,203038,Andrews
2,4,4,0.001332283,0.000278950,101519,56581,203038,Andrews
2,4,5,0.001291990,0.000247240,101519,56581,203038,Andrews
2,4,6,0.001303434,0.000257492,101519,56581,203038,Andrews
2,4,7,0.001310825,0.000264406,101519,56581,203038,Andrews
2,4,8,0.001333237,0.000288963,101519,56581,203038,Andrews
2,4,9,0.001349211,0.000307083,101519,56581,203038,Andrews
3,4,0,0.001564741,0.000457287,103226,57356,206452,Andrews
3,4,1,0.001363277,0.000317097,103226,57356,206452,Andrews
3,4,2,0.001372814,0.000271559,103226,57356,206452,Andrews
3,4,3,0.001381636,0.000322819,103226,57356,206452,Andrews
3,4,4,0.001364470,0.000281096,103226,57356,206452,Andrews
3,4,5,0.001372576,0.000297546,103226,57356,206452,Andrews
3,4,6,0.001318693,0.000270367,103226,57356,206452,Andrews
3,4,7,0.001307011,0.000260830,103226,57356,206452,Andrews
3,4,8,0.001332283,0.000286818,103226,57356,206452,Andrews
3,4,9,0.001339197,0.000293493,103226,57356,206452,Andrews
0,8,0,0.000735998,0.000276327,50623,35617,101246,Andrews
0,8,1,0.000597954,0.000144005,50623,35617,101246,Andrews
0,8,2,0.000580311,0.000137806,50623,35617,101246,Andrews
0,8,3,0.000589609,0.000139952,50623,35617,101246,Andrews
0,8,4,0.000586510,0.000137091,50623,35617,101246,Andrews
0,8,5,0.000586987,0.000137091,50623,35617,101246,Andrews
0,8,6,0.000581264,0.000136137,50623,35617,101246,Andrews
0,8,7,0.000590324,0.000137329,50623,35617,101246,Andrews
0,8,8,0.000588179,0.000137091,50623,35617,101246,Andrews
0,8,9,0.000580072,0.000137806,50623,35617,101246,Andrews
1,8,0,0.000735044,0.000270367,51802,36707,103604,Andrews
1,8,1,0.000613451,0.000144482,51802,36707,103604,Andrews
1,8,2,0.000582218,0.000133514,51802,36707,103604,Andrews
1,8,3,0.000599146,0.000139713,51802,36707,103604,Andrews
1,8,4,0.000585556,0.000134706,51802,36707,103604,Andrews
1,8,5,0.000591755,0.000132799,51802,36707,103604,Andrews
1,8,6,0.000587702,0.000134230,51802,36707,103604,Andrews
1,8,7,0.000590563,0.000136614,51802,36707,103604,Andrews
1,8,8,0.000594139,0.000134945,51802,36707,103604,Andrews
1,8,9,0.000587463,0.000137329,51802,36707,103604,Andrews
2,8,0,0.000714064,0.000265360,50656,35748,101312,Andrews
2,8,1,0.000587463,0.000133514,50656,35748,101312,Andrews
2,8,2,0.000572920,0.000133038,50656,35748,101312,Andrews
2,8,3,0.000574350,0.000131369,50656,35748,101312,Andrews
2,8,4,0.000568151,0.000131130,50656,35748,101312,Andrews
2,8,5,0.000576735,0.000131369,50656,35748,101312,Andrews
2,8,6,0.000571489,0.000130177,50656,35748,101312,Andrews
2,8,7,0.000574589,0.000132561,50656,35748,101312,Andrews
2,8,8,0.000578642,0.000130892,50656,35748,101312,Andrews
2,8,9,0.000569344,0.000129700,50656,35748,101312,Andrews
3,8,0,0.000712395,0.000255108,51507,36280,103014,Andrews
3,8,1,0.000599623,0.000132799,51507,36280,103014,Andrews
3,8,2,0.000586510,0.000134468,51507,36280,103014,Andrews
3,8,3,0.000590801,0.000134230,51507,36280,103014,Andrews
3,8,4,0.000583887,0.000133276,51507,36280,103014,Andrews
3,8,5,0.000590086,0.000131369,51507,36280,103014,Andrews
3,8,6,0.000588179,0.000130892,51507,36280,103014,Andrews
3,8,7,0.000587225,0.000133276,51507,36280,103014,Andrews
3,8,8,0.000589132,0.000130415,51507,36280,103014,Andrews
3,8,9,0.000582933,0.000131369,51507,36280,103014,Andrews
4,8,0,0.000703096,0.000264406,50521,35725,101042,Andrews
4,8,1,0.000591040,0.000137329,50521,35725,101042,Andrews
4,8,2,0.000564098,0.000128508,50521,35725,101042,Andrews
4,8,3,0.000571012,0.000127792,50521,35725,101042,Andrews
4,8,4,0.000562191,0.000126362,50521,35725,101042,Andrews
4,8,5,0.000568151,0.000127077,50521,35725,101042,Andrews
4,8,6,0.000574589,0.000123978,50521,35725,101042,Andrews
4,8,7,0.000566244,0.000128746,50521,35725,101042,Andrews
4,8,8,0.000572205,0.000128269,50521,35725,101042,Andrews
4,8,9,0.000563622,0.000126600,50521,35725,101042,Andrews
5,8,0,0.000699282,0.000261784,52386,37119,104772,Andrews
5,8,1,0.000581264,0.000127316,52386,37119,104772,Andrews
5,8,2,0.000564337,0.000125647,52386,37119,104772,Andrews
5,8,3,0.000562429,0.000125408,52386,37119,104772,Andrews
5,8,4,0.000555992,0.000124931,52386,37119,104772,Andrews
5,8,5,0.000571489,0.000128269,52386,37119,104772,Andrews
5,8,6,0.000563145,0.000125170,52386,37119,104772,Andrews
5,8,7,0.000557661,0.000126839,52386,37119,104772,Andrews
5,8,8,0.000564098,0.000126600,52386,37119,104772,Andrews
5,8,9,0.000557899,0.000125885,52386,37119,104772,Andrews
6,8,0,0.000698805,0.000250101,50863,35902,101726,Andrews
6,8,1,0.000572205,0.000122786,50863,35902,101726,Andrews
6,8,2,0.000561953,0.000119925,50863,35902,101726,Andrews
6,8,3,0.000566483,0.000118971,50863,35902,101726,Andrews
6,8,4,0.000571728,0.000118494,50863,35902,101726,Andrews
6,8,5,0.000569582,0.000121117,50863,35902,101726,Andrews
6,8,6,0.000566483,0.000120878,50863,35902,101726,Andrews
6,8,7,0.000570774,0.000118732,50863,35902,101726,Andrews
6,8,8,0.000571012,0.000117302,50863,35902,101726,Andrews
6,8,9,0.000570297,0.000117540,50863,35902,101726,Andrews
7,8,0,0.000683784,0.000249147,51719,36647,103438,Andrews
7,8,1,0.000576019,0.000127316,51719,36647,103438,Andrews
7,8,2,0.000554323,0.000122070,51719,36647,103438,Andrews
7,8,3,0.000562906,0.000127316,51719,36647,103438,Andrews
7,8,4,0.000554562,0.000126362,51719,36647,103438,Andrews
7,8,5,0.000565767,0.000127077,51719,36647,103438,Andrews
7,8,6,0.000560999,0.000128269,51719,36647,103438,Andrews
7,8,7,0.000553608,0.000126362,51719,36647,103438,Andrews
7,8,8,0.000561714,0.000127554,51719,36647,103438,Andrews
7,8,9,0.000555277,0.000127077,51719,36647,103438,Andrews
0,16,0,0.000337601,0.000134706,25418,19812,50836,Andrews
0,16,1,0.000277996,0.000087500,25418,19812,50836,Andrews
0,16,2,0.000280857,0.000091314,25418,19812,50836,Andrews
0,16,3,0.000279903,0.000091314,25418,19812,50836,Andrews
0,16,4,0.000280380,0.000091791,25418,19812,50836,Andrews
0,16,5,0.000283718,0.000094175,25418,19812,50836,Andrews
0,16,6,0.000276566,0.000088692,25418,19812,50836,Andrews
0,16,7,0.000288248,0.000091553,25418,19812,50836,Andrews
0,16,8,0.000280857,0.000091314,25418,19812,50836,Andrews
0,16,9,0.000282526,0.000091791,25418,19812,50836,Andrews
3,16,0,0.000366449,0.000163317,25702,20023,51404,Andrews
3,16,1,0.000293255,0.000094175,25702,20023,51404,Andrews
3,16,2,0.000287056,0.000093937,25702,20023,51404,Andrews
3,16,3,0.000289917,0.000096560,25702,20023,51404,Andrews
3,16,4,0.000291586,0.000096083,25702,20023,51404,Andrews
3,16,5,0.000287056,0.000092983,25702,20023,51404,Andrews
3,16,6,0.000287533,0.000094652,25702,20023,51404,Andrews
3,16,7,0.000291586,0.000090837,25702,20023,51404,Andrews
3,16,8,0.000287533,0.000093460,25702,20023,51404,Andrews
3,16,9,0.000285149,0.000091553,25702,20023,51404,Andrews
4,16,0,0.000351429,0.000154257,25296,19731,50592,Andrews
4,16,1,0.000272274,0.000083447,25296,19731,50592,Andrews
4,16,2,0.000275850,0.000081539,25296,19731,50592,Andrews
4,16,3,0.000271082,0.000084400,25296,19731,50592,Andrews
4,16,4,0.000271082,0.000083447,25296,19731,50592,Andrews
4,16,5,0.000271797,0.000082970,25296,19731,50592,Andrews
4,16,6,0.000274897,0.000087976,25296,19731,50592,Andrews
4,16,7,0.000282526,0.000087738,25296,19731,50592,Andrews
4,16,8,0.000273228,0.000084400,25296,19731,50592,Andrews
4,16,9,0.000271797,0.000083447,25296,19731,50592,Andrews
5,16,0,0.000368357,0.000163317,26090,20417,52180,Andrews
5,16,1,0.000294924,0.000098705,26090,20417,52180,Andrews
5,16,2,0.000289679,0.000093222,26090,20417,52180,Andrews
5,16,3,0.000285864,0.000092030,26090,20417,52180,Andrews
5,16,4,0.000287771,0.000092268,26090,20417,52180,Andrews
5,16,5,0.000287056,0.000091791,26090,20417,52180,Andrews
5,16,6,0.000285864,0.000091553,26090,20417,52180,Andrews
5,16,7,0.000291109,0.000090122,26090,20417,52180,Andrews
5,16,8,0.000294447,0.000092983,26090,20417,52180,Andrews
5,16,9,0.000290871,0.000090599,26090,20417,52180,Andrews
6,16,0,0.000354528,0.000157356,25361,19736,50722,Andrews
6,16,1,0.000288725,0.000097752,25361,19736,50722,Andrews
6,16,2,0.000278473,0.000088692,25361,19736,50722,Andrews
6,16,3,0.000277758,0.000088453,25361,19736,50722,Andrews
6,16,4,0.000276327,0.000087023,25361,19736,50722,Andrews
6,16,5,0.000277281,0.000086308,25361,19736,50722,Andrews
6,16,6,0.000276804,0.000086308,25361,19736,50722,Andrews
6,16,7,0.000286579,0.000086308,25361,19736,50722,Andrews
6,16,8,0.000274181,0.000084639,25361,19736,50722,Andrews
6,16,9,0.000282526,0.000087500,25361,19736,50722,Andrews
7,16,0,0.000364542,0.000164986,25792,20161,51584,Andrews
7,16,1,0.000284910,0.000090361,25792,20161,51584,Andrews
7,16,2,0.000282288,0.000086784,25792,20161,51584,Andrews
7,16,3,0.000276804,0.000083208,25792,20161,51584,Andrews
7,16,4,0.000283241,0.000089884,25792,20161,51584,Andrews
7,16,5,0.000278234,0.000084639,25792,20161,51584,Andrews
7,16,6,0.000272036,0.000081062,25792,20161,51584,Andrews
7,16,7,0.000279188,0.000081778,25792,20161,51584,Andrews
7,16,8,0.000277758,0.000084639,25792,20161,51584,Andrews
7,16,9,0.000286341,0.000086546,25792,20161,51584,Andrews
8,16,0,0.000363827,0.000162125,25205,19622,50410,Andrews
8,16,1,0.000286102,0.000095367,25205,19622,50410,Andrews
8,16,2,0.000278711,0.000089169,25205,19622,50410,Andrews
8,16,3,0.000276089,0.000087976,25205,19622,50410,Andrews
8,16,4,0.000283003,0.000092506,25205,19622,50410,Andrews
8,16,5,0.000274658,0.000087738,25205,19622,50410,Andrews
8,16,6,0.000277519,0.000089645,25205,19622,50410,Andrews
8,16,7,0.000280380,0.000088930,25205,19622,50410,Andrews
8,16,8,0.000275612,0.000086308,25205,19622,50410,Andrews
8,16,9,0.000279903,0.000090599,25205,19622,50410,Andrews
9,16,0,0.000370741,0.000155687,25829,20214,51658,Andrews
9,16,1,0.000270367,0.000093699,25829,20214,51658,Andrews
9,16,2,0.000261307,0.000084639,25829,20214,51658,Andrews
9,16,3,0.000260353,0.000081778,25829,20214,51658,Andrews
9,16,4,0.000258684,0.000080824,25829,20214,51658,Andrews
9,16,5,0.000262260,0.000084162,25829,20214,51658,Andrews
9,16,6,0.000257492,0.000081062,25829,20214,51658,Andrews
9,16,7,0.000268936,0.000083208,25829,20214,51658,Andrews
9,16,8,0.000262499,0.000084400,25829,20214,51658,Andrews
9,16,9,0.000258684,0.000082970,25829,20214,51658,Andrews
10,16,0,0.000345230,0.000150442,25295,19711,50590,Andrews
10,16,1,0.000276327,0.000088930,25295,19711,50590,Andrews
10,16,2,0.000273943,0.000086308,25295,19711,50590,Andrews
10,16,3,0.000272989,0.000086069,25295,19711,50590,Andrews
10,16,4,0.000273466,0.000087500,25295,19711,50590,Andrews
