rank,num_procs,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,matrix
0,1,0,0.000869036,0.000011683,410077,0,820154,Andrews
0,1,1,0.000673294,0.000001431,410077,0,820154,Andrews
0,1,2,0.000663280,0.000000954,410077,0,820154,Andrews
0,1,3,0.000646591,0.000000715,410077,0,820154,Andrews
0,1,4,0.000644445,0.000000477,410077,0,820154,Andrews
0,1,5,0.000647068,0.000000954,410077,0,820154,Andrews
0,1,6,0.000629902,0.000000715,410077,0,820154,Andrews
0,1,7,0.000631809,0.000000715,410077,0,820154,Andrews
0,1,8,0.000630617,0.000000715,410077,0,820154,Andrews
0,1,9,0.000617981,0.000000715,410077,0,820154,Andrews
1,2,0,0.079238415,0.078010321,207414,54185,414828,Andrews
1,2,1,0.079199076,0.078007698,207414,54185,414828,Andrews
1,2,2,0.079144716,0.078010559,207414,54185,414828,Andrews
1,2,3,0.079163551,0.078006983,207414,54185,414828,Andrews
1,2,4,0.082295656,0.081008673,207414,54185,414828,Andrews
1,2,5,0.079136848,0.078004122,207414,54185,414828,Andrews
1,2,6,0.079166889,0.078005314,207414,54185,414828,Andrews
1,2,7,0.079174280,0.078005791,207414,54185,414828,Andrews
1,2,8,0.079144716,0.078004122,207414,54185,414828,Andrews
1,2,9,0.079139233,0.078002930,207414,54185,414828,Andrews
0,2,0,0.105325222,0.104040146,202663,53459,405326,Andrews
0,2,1,0.103836298,0.102707863,202663,53459,405326,Andrews
0,2,2,0.103903770,0.102864027,202663,53459,405326,Andrews
0,2,3,0.104070425,0.102960110,202663,53459,405326,Andrews
0,2,4,0.106932402,0.105886936,202663,53459,405326,Andrews
0,2,5,0.104041100,0.102951050,202663,53459,405326,Andrews
0,2,6,0.103953600,0.102905512,202663,53459,405326,Andrews
0,2,7,0.104050636,0.102949619,202663,53459,405326,Andrews
0,2,8,0.103881598,0.102897406,202663,53459,405326,Andrews
0,2,9,0.104070902,0.103014708,202663,53459,405326,Andrews
3,4,0,0.029269457,0.028217793,103226,57356,206452,Andrews
3,4,1,0.029126883,0.028236628,103226,57356,206452,Andrews
3,4,2,0.029006958,0.028214216,103226,57356,206452,Andrews
3,4,3,0.029025793,0.028236151,103226,57356,206452,Andrews
3,4,4,0.028925657,0.028211117,103226,57356,206452,Andrews
3,4,5,0.029024601,0.028226376,103226,57356,206452,Andrews
3,4,6,0.028967381,0.028209686,103226,57356,206452,Andrews
3,4,7,0.029020786,0.028216600,103226,57356,206452,Andrews
3,4,8,0.029006481,0.028209686,103226,57356,206452,Andrews
3,4,9,0.029012203,0.028237820,103226,57356,206452,Andrews
0,4,0,0.057142258,0.056135893,101144,56607,202288,Andrews
0,4,1,0.057000637,0.056139708,101144,56607,202288,Andrews
0,4,2,0.056896210,0.056129932,101144,56607,202288,Andrews
0,4,3,0.056876659,0.056131601,101144,56607,202288,Andrews
0,4,4,0.056809664,0.056130886,101144,56607,202288,Andrews
0,4,5,0.056867123,0.056134701,101144,56607,202288,Andrews
0,4,6,0.056875944,0.056141853,101144,56607,202288,Andrews
0,4,7,0.056867599,0.056134224,101144,56607,202288,Andrews
0,4,8,0.056870937,0.056128740,101144,56607,202288,Andrews
0,4,9,0.056889296,0.056136847,101144,56607,202288,Andrews
1,4,0,0.057995081,0.056140661,104188,58254,208376,Andrews
1,4,1,0.056892395,0.056123018,104188,58254,208376,Andrews
1,4,2,0.056827784,0.056136608,104188,58254,208376,Andrews
1,4,3,0.056892395,0.056134701,104188,58254,208376,Andrews
1,4,4,0.056781530,0.056116819,104188,58254,208376,Andrews
1,4,5,0.056791306,0.056138754,104188,58254,208376,Andrews
1,4,6,0.056801796,0.056123734,104188,58254,208376,Andrews
1,4,7,0.056776285,0.056124210,104188,58254,208376,Andrews
1,4,8,0.056812525,0.056131363,104188,58254,208376,Andrews
1,4,9,0.056833029,0.056139946,104188,58254,208376,Andrews
2,4,0,0.056844234,0.056050062,101519,56581,203038,Andrews
2,4,1,0.056722879,0.056040764,101519,56581,203038,Andrews
2,4,2,0.056687117,0.056042671,101519,56581,203038,Andrews
2,4,3,0.056688309,0.056046009,101519,56581,203038,Andrews
2,4,4,0.056699991,0.056042910,101519,56581,203038,Andrews
2,4,5,0.056680679,0.056035042,101519,56581,203038,Andrews
2,4,6,0.056667089,0.056041956,101519,56581,203038,Andrews
2,4,7,0.056709290,0.056037188,101519,56581,203038,Andrews
2,4,8,0.056702137,0.056041002,101519,56581,203038,Andrews
2,4,9,0.056680202,0.056053400,101519,56581,203038,Andrews
3,8,0,0.000851154,0.000354528,51507,36280,103014,Andrews
3,8,1,0.000723600,0.000246286,51507,36280,103014,Andrews
3,8,2,0.000677824,0.000240326,51507,36280,103014,Andrews
3,8,3,0.000675678,0.000233412,51507,36280,103014,Andrews
3,8,4,0.000712156,0.000247955,51507,36280,103014,Andrews
3,8,5,0.000869036,0.000391006,51507,36280,103014,Andrews
3,8,6,0.000782013,0.000334501,51507,36280,103014,Andrews
3,8,7,0.000693560,0.000235796,51507,36280,103014,Andrews
3,8,8,0.000677347,0.000242472,51507,36280,103014,Andrews
3,8,9,0.000657558,0.000225544,51507,36280,103014,Andrews
2,8,0,0.034152746,0.032065392,50656,35748,101312,Andrews
2,8,1,0.032507181,0.032087564,50656,35748,101312,Andrews
2,8,2,0.032501936,0.032087326,50656,35748,101312,Andrews
2,8,3,0.032510757,0.032086372,50656,35748,101312,Andrews
2,8,4,0.032493353,0.032087088,50656,35748,101312,Andrews
2,8,5,0.032414913,0.031992197,50656,35748,101312,Andrews
2,8,6,0.032507181,0.032095432,50656,35748,101312,Andrews
2,8,7,0.032533646,0.032086372,50656,35748,101312,Andrews
2,8,8,0.034611225,0.032093048,50656,35748,101312,Andrews
2,8,9,0.032494307,0.032083511,50656,35748,101312,Andrews
6,8,0,0.034996986,0.032014847,50863,35902,101726,Andrews
6,8,1,0.063986540,0.032028437,50863,35902,101726,Andrews
6,8,2,0.034161329,0.032037735,50863,35902,101726,Andrews
6,8,3,0.035737991,0.032043695,50863,35902,101726,Andrews
6,8,4,0.035604239,0.032013655,50863,35902,101726,Andrews
6,8,5,0.064992189,0.064008474,50863,35902,101726,Andrews
6,8,6,0.034992456,0.032037258,50863,35902,101726,Andrews
6,8,7,0.063996077,0.032032490,50863,35902,101726,Andrews
6,8,8,0.063994408,0.032032251,50863,35902,101726,Andrews
6,8,9,0.033618927,0.032014847,50863,35902,101726,Andrews
5,8,0,0.035420418,0.032019854,52386,37119,104772,Andrews
5,8,1,0.063985586,0.032055378,52386,37119,104772,Andrews
5,8,2,0.034879208,0.032064199,52386,37119,104772,Andrews
5,8,3,0.063976765,0.032058954,52386,37119,104772,Andrews
5,8,4,0.064988613,0.032057047,52386,37119,104772,Andrews
5,8,5,0.065705538,0.064020157,52386,37119,104772,Andrews
5,8,6,0.063975096,0.032053709,52386,37119,104772,Andrews
5,8,7,0.035694361,0.032070637,52386,37119,104772,Andrews
5,8,8,0.032428741,0.032045126,52386,37119,104772,Andrews
5,8,9,0.032992363,0.032070875,52386,37119,104772,Andrews
7,8,0,0.035856962,0.031998634,51719,36647,103438,Andrews
7,8,1,0.033759117,0.031998158,51719,36647,103438,Andrews
7,8,2,0.033351660,0.032003403,51719,36647,103438,Andrews
7,8,3,0.032392502,0.032010078,51719,36647,103438,Andrews
7,8,4,0.033096075,0.032001972,51719,36647,103438,Andrews
7,8,5,0.064401388,0.064004183,51719,36647,103438,Andrews
7,8,6,0.032367468,0.031991720,51719,36647,103438,Andrews
7,8,7,0.032382965,0.032014132,51719,36647,103438,Andrews
7,8,8,0.032395601,0.032013893,51719,36647,103438,Andrews
7,8,9,0.032373428,0.031997681,51719,36647,103438,Andrews
4,8,0,0.034580946,0.032042503,50521,35725,101042,Andrews
4,8,1,0.034998178,0.032057047,50521,35725,101042,Andrews
4,8,2,0.033409357,0.032057524,50521,35725,101042,Andrews
4,8,3,0.035013437,0.032061577,50521,35725,101042,Andrews
4,8,4,0.034671307,0.032048464,50521,35725,101042,Andrews
4,8,5,0.064405918,0.064012527,50521,35725,101042,Andrews
4,8,6,0.034385204,0.032069921,50521,35725,101042,Andrews
4,8,7,0.035602331,0.032061577,50521,35725,101042,Andrews
4,8,8,0.035689354,0.032050610,50521,35725,101042,Andrews
4,8,9,0.064000845,0.032069921,50521,35725,101042,Andrews
1,8,0,0.080989838,0.032092571,51802,36707,103604,Andrews
1,8,1,0.063988209,0.032037020,51802,36707,103604,Andrews
1,8,2,0.063980818,0.032023668,51802,36707,103604,Andrews
1,8,3,0.063976049,0.032015085,51802,36707,103604,Andrews
1,8,4,0.064973831,0.032013178,51802,36707,103604,Andrews
1,8,5,0.092982531,0.064015388,51802,36707,103604,Andrews
1,8,6,0.063995600,0.032040358,51802,36707,103604,Andrews
1,8,7,0.063991547,0.032028198,51802,36707,103604,Andrews
1,8,8,0.063996553,0.032028913,51802,36707,103604,Andrews
1,8,9,0.063985109,0.032030582,51802,36707,103604,Andrews
0,8,0,0.064001560,0.032106876,50623,35617,101246,Andrews
0,8,1,0.064001560,0.032083511,50623,35617,101246,Andrews
0,8,2,0.035158634,0.032100916,50623,35617,101246,Andrews
0,8,3,0.035730839,0.032099962,50623,35617,101246,Andrews
0,8,4,0.076986551,0.032085419,50623,35617,101246,Andrews
0,8,5,0.113002062,0.064021587,50623,35617,101246,Andrews
0,8,6,0.096002817,0.064029694,50623,35617,101246,Andrews
0,8,7,0.095999241,0.064026833,50623,35617,101246,Andrews
0,8,8,0.096003771,0.064036131,50623,35617,101246,Andrews
0,8,9,0.096008062,0.064043045,50623,35617,101246,Andrews
15,16,0,0.000547886,0.000241518,25927,20263,51854,Andrews
15,16,1,0.000502110,0.000243187,25927,20263,51854,Andrews
15,16,2,0.000480175,0.000238180,25927,20263,51854,Andrews
15,16,3,0.000489712,0.000240564,25927,20263,51854,Andrews
15,16,4,0.000493526,0.000242710,25927,20263,51854,Andrews
15,16,5,0.000488281,0.000249863,25927,20263,51854,Andrews
15,16,6,0.000499964,0.000248671,25927,20263,51854,Andrews
15,16,7,0.000502110,0.000242710,25927,20263,51854,Andrews
15,16,8,0.000482559,0.000223160,25927,20263,51854,Andrews
15,16,9,0.000401497,0.000177860,25927,20263,51854,Andrews
1,16,0,0.319995880,0.256010294,25973,20247,51946,Andrews
1,16,1,0.193847179,0.192009449,25973,20247,51946,Andrews
1,16,2,0.193000793,0.192010641,25973,20247,51946,Andrews
1,16,3,0.192914963,0.192008018,25973,20247,51946,Andrews
1,16,4,0.192921638,0.192012310,25973,20247,51946,Andrews
1,16,5,0.252997398,0.192013264,25973,20247,51946,Andrews
1,16,6,0.166265965,0.166010141,25973,20247,51946,Andrews
1,16,7,0.192247629,0.192008734,25973,20247,51946,Andrews
1,16,8,0.195238352,0.195013523,25973,20247,51946,Andrews
1,16,9,0.127233505,0.127014160,25973,20247,51946,Andrews
5,16,0,0.192983866,0.192004681,26090,20417,52180,Andrews
5,16,1,0.192982912,0.191999674,26090,20417,52180,Andrews
5,16,2,0.192995548,0.192016125,26090,20417,52180,Andrews
5,16,3,0.192212582,0.192003489,26090,20417,52180,Andrews
5,16,4,0.193999529,0.192015648,26090,20417,52180,Andrews
5,16,5,0.252988100,0.192020416,26090,20417,52180,Andrews
5,16,6,0.098244429,0.098012209,26090,20417,52180,Andrews
5,16,7,0.128258228,0.128018856,26090,20417,52180,Andrews
5,16,8,0.194992065,0.131011963,26090,20417,52180,Andrews
5,16,9,0.065904140,0.064010143,26090,20417,52180,Andrews
8,16,0,0.197467804,0.195996761,25205,19622,50410,Andrews
8,16,1,0.196980476,0.196002483,25205,19622,50410,Andrews
8,16,2,0.192942142,0.191989660,25205,19622,50410,Andrews
8,16,3,0.192215919,0.192001343,25205,19622,50410,Andrews
8,16,4,0.193532467,0.191989183,25205,19622,50410,Andrews
8,16,5,0.248983622,0.192002535,25205,19622,50410,Andrews
8,16,6,0.194983482,0.194004059,25205,19622,50410,Andrews
8,16,7,0.195698977,0.192000628,25205,19622,50410,Andrews
8,16,8,0.192025185,0.190989017,25205,19622,50410,Andrews
8,16,9,0.130411386,0.126994848,25205,19622,50410,Andrews
12,16,0,0.128937721,0.128021002,25225,19644,50450,Andrews
12,16,1,0.128237963,0.128020763,25225,19644,50450,Andrews
12,16,2,0.128957033,0.128009558,25225,19644,50450,Andrews
12,16,3,0.128224850,0.128010035,25225,19644,50450,Andrews
12,16,4,0.128208160,0.128006458,25225,19644,50450,Andrews
12,16,5,0.189024687,0.127999544,25225,19644,50450,Andrews
12,16,6,0.135487556,0.134008884,25225,19644,50450,Andrews
12,16,7,0.191987991,0.128003836,25225,19644,50450,Andrews
12,16,8,0.190988779,0.126995564,25225,19644,50450,Andrews
12,16,9,0.128749132,0.127026558,25225,19644,50450,Andrews
0,16,0,0.259604216,0.256018639,25418,19812,50836,Andrews
0,16,1,0.257517099,0.256009579,25418,19812,50836,Andrews
0,16,2,0.257475853,0.256017208,25418,19812,50836,Andrews
0,16,3,0.257394552,0.256013155,25418,19812,50836,Andrews
0,16,4,0.256231070,0.256024122,25418,19812,50836,Andrews
0,16,5,0.256223917,0.256014347,25418,19812,50836,Andrews
0,16,6,0.254211903,0.254003286,25418,19812,50836,Andrews
0,16,7,0.256217241,0.256011248,25418,19812,50836,Andrews
0,16,8,0.257990360,0.255002022,25418,19812,50836,Andrews
0,16,9,0.193502903,0.191001654,25418,19812,50836,Andrews
13,16,0,0.128000498,0.064033747,26296,20631,52592,Andrews
13,16,1,0.127995253,0.064032316,26296,20631,52592,Andrews
13,16,2,0.127994776,0.064035416,26296,20631,52592,Andrews
13,16,3,0.125027895,0.064028740,26296,20631,52592,Andrews
13,16,4,0.066697359,0.064046144,26296,20631,52592,Andrews
13,16,5,0.066997051,0.064033031,26296,20631,52592,Andrews
13,16,6,0.071567297,0.070042849,26296,20631,52592,Andrews
13,16,7,0.127993822,0.064026594,26296,20631,52592,Andrews
13,16,8,0.110779285,0.107020140,26296,20631,52592,Andrews
13,16,9,0.125007153,0.123014688,26296,20631,52592,Andrews
2,16,0,0.258985758,0.256004572,25361,19701,50722,Andrews
2,16,1,0.256987810,0.256000519,25361,19701,50722,Andrews
2,16,2,0.192990303,0.192003250,25361,19701,50722,Andrews
2,16,3,0.192985535,0.191998243,25361,19701,50722,Andrews
2,16,4,0.192727089,0.192001581,25361,19701,50722,Andrews
2,16,5,0.256200552,0.255999327,25361,19701,50722,Andrews
2,16,6,0.190766811,0.189999342,25361,19701,50722,Andrews
2,16,7,0.192211151,0.191999435,25361,19701,50722,Andrews
2,16,8,0.193987131,0.190987110,25361,19701,50722,Andrews
2,16,9,0.197001219,0.195003033,25361,19701,50722,Andrews
4,16,0,0.192299843,0.192011595,25296,19731,50592,Andrews
4,16,1,0.192256689,0.192014694,25296,19731,50592,Andrews
4,16,2,0.192257404,0.192015409,25296,19731,50592,Andrews
4,16,3,0.192247152,0.192020655,25296,19731,50592,Andrews
4,16,4,0.192255974,0.192014933,25296,19731,50592,Andrews
4,16,5,0.192237377,0.192013025,25296,19731,50592,Andrews
4,16,6,0.134978533,0.133996964,25296,19731,50592,Andrews
4,16,7,0.194984674,0.192003727,25296,19731,50592,Andrews
4,16,8,0.258989573,0.194999933,25296,19731,50592,Andrews
4,16,9,0.186999798,0.127048731,25296,19731,50592,Andrews
14,16,0,0.064272881,0.064003229,25502,19882,51004,Andrews
14,16,1,0.064229488,0.064011812,25502,19882,51004,Andrews
14,16,2,0.064230204,0.064018011,25502,19882,51004,Andrews
14,16,3,0.125001669,0.064022779,25502,19882,51004,Andrews
14,16,4,0.064234018,0.064016342,25502,19882,51004,Andrews
14,16,5,0.066987514,0.064014196,25502,19882,51004,Andrews
14,16,6,0.070986986,0.070022821,25502,19882,51004,Andrews
14,16,7,0.127989531,0.064020157,25502,19882,51004,Andrews
14,16,8,0.127983332,0.063998938,25502,19882,51004,Andrews
14,16,9,0.128001928,0.064023018,25502,19882,51004,Andrews
6,16,0,0.192193031,0.191977262,25361,19736,50722,Andrews
6,16,1,0.192215204,0.192006826,25361,19736,50722,Andrews
6,16,2,0.192246675,0.192013264,25361,19736,50722,Andrews
6,16,3,0.252990484,0.192004442,25361,19736,50722,Andrews
6,16,4,0.192982674,0.191997290,25361,19736,50722,Andrews
6,16,5,0.195641518,0.191997528,25361,19736,50722,Andrews
6,16,6,0.134988546,0.134007692,25361,19736,50722,Andrews
6,16,7,0.194987297,0.192004681,25361,19736,50722,Andrews
6,16,8,0.254987478,0.190998316,25361,19736,50722,Andrews
6,16,9,0.190997839,0.127003431,25361,19736,50722,Andrews
10,16,0,0.191995621,0.128024817,25295,19711,50590,Andrews
10,16,1,0.191988945,0.128013849,25295,19711,50590,Andrews
10,16,2,0.195984364,0.127997875,25295,19711,50590,Andrews
10,16,3,0.188987255,0.128004313,25295,19711,50590,Andrews
10,16,4,0.191994905,0.128004313,25295,19711,50590,Andrews
10,16,5,0.216987848,0.128010035,25295,19711,50590,Andrews
10,16,6,0.129583120,0.125987768,25295,19711,50590,Andrews
10,16,7,0.191987514,0.128001928,25295,19711,50590,Andrews
10,16,8,0.183871508,0.126994848,25295,19711,50590,Andrews
10,16,9,0.191002607,0.127012253,25295,19711,50590,Andrews
7,16,0,0.188982487,0.187993288,25792,20161,51584,Andrews
7,16,1,0.188254595,0.188006401,25792,20161,51584,Andrews
7,16,2,0.192227840,0.192012548,25792,20161,51584,Andrews
7,16,3,0.192231655,0.192014694,25792,20161,51584,Andrews
7,16,4,0.192996979,0.192011118,25792,20161,51584,Andrews
7,16,5,0.256993771,0.192007542,25792,20161,51584,Andrews
7,16,6,0.131001472,0.130015373,25792,20161,51584,Andrews
7,16,7,0.194990635,0.192007780,25792,20161,51584,Andrews
7,16,8,0.250988960,0.190998316,25792,20161,51584,Andrews
7,16,9,0.191003561,0.127009153,25792,20161,51584,Andrews
3,16,0,0.256000996,0.192022085,25702,20023,51404,Andrews
3,16,1,0.255997419,0.192023754,25702,20023,51404,Andrews
3,16,2,0.191992283,0.128010035,25702,20023,51404,Andrews
3,16,3,0.191987276,0.128010511,25702,20023,51404,Andrews
3,16,4,0.130705833,0.128014326,25702,20023,51404,Andrews
3,16,5,0.194439888,0.192017317,25702,20023,51404,Andrews
3,16,6,0.222994328,0.130013227,25702,20023,51404,Andrews
3,16,7,0.191998243,0.128011465,25702,20023,51404,Andrews
3,16,8,0.202985287,0.126998663,25702,20023,51404,Andrews
3,16,9,0.190981388,0.126993656,25702,20023,51404,Andrews
9,16,0,0.191993952,0.128032923,25829,20214,51658,Andrews
9,16,1,0.191986799,0.128011703,25829,20214,51658,Andrews
9,16,2,0.191996574,0.128017426,25829,20214,51658,Andrews
9,16,3,0.228991747,0.128017187,25829,20214,51658,Andrews
9,16,4,0.255984306,0.192000628,25829,20214,51658,Andrews
9,16,5,0.252987862,0.192006111,25829,20214,51658,Andrews
9,16,6,0.254982233,0.190002203,25829,20214,51658,Andrews
9,16,7,0.255985975,0.191998720,25829,20214,51658,Andrews
9,16,8,0.258977890,0.190990686,25829,20214,51658,Andrews
9,16,9,0.190999985,0.127008915,25829,20214,51658,Andrews
11,16,0,0.189993382,0.128030777,25805,20119,51610,Andrews
11,16,1,0.191984892,0.128029585,25805,20119,51610,Andrews
11,16,2,0.191996336,0.128038883,25805,20119,51610,Andrews
11,16,3,0.192983866,0.128027678,25805,20119,51610,Andrews
11,16,4,0.130083323,0.128031254,25805,20119,51610,Andrews
11,16,5,0.192984819,0.128029823,25805,20119,51610,Andrews
11,16,6,0.190981865,0.125999451,25805,20119,51610,Andrews
11,16,7,0.191987038,0.128003359,25805,20119,51610,Andrews
11,16,8,0.194992542,0.131002903,25805,20119,51610,Andrews
11,16,9,0.191988230,0.127999067,25805,20119,51610,Andrews
7,32,0,0.285902500,0.192005634,12849,10485,25698,Andrews
7,32,1,0.096054554,0.095010042,12849,10485,25698,Andrews
7,32,2,0.191996336,0.096018076,12849,10485,25698,Andrews
7,32,3,0.191999197,0.095014095,12849,10485,25698,Andrews
7,32,4,0.283992767,0.192005634,12849,10485,25698,Andrews
7,32,5,0.194991112,0.192030191,12849,10485,25698,Andrews
7,32,6,0.098475933,0.096050978,12849,10485,25698,Andrews
7,32,7,0.287994623,0.192032099,12849,10485,25698,Andrews
7,32,8,0.191999435,0.096050501,12849,10485,25698,Andrews
7,32,9,0.000833988,0.000690222,12849,10485,25698,Andrews
27,32,0,0.265987158,0.263059616,12852,10503,25704,Andrews
27,32,1,0.263991356,0.176049948,12852,10503,25704,Andrews
27,32,2,0.088991404,0.088093996,12852,10503,25704,Andrews
27,32,3,0.179990530,0.176056623,12852,10503,25704,Andrews
27,32,4,0.147891045,0.147768021,12852,10503,25704,Andrews
27,32,5,0.000405073,0.000283480,12852,10503,25704,Andrews
27,32,6,0.090989113,0.088029146,12852,10503,25704,Andrews
27,32,7,0.000377893,0.000267267,12852,10503,25704,Andrews
27,32,8,0.096985579,0.088049173,12852,10503,25704,Andrews
27,32,9,0.000374556,0.000277996,12852,10503,25704,Andrews
6,32,0,0.312978983,0.192011356,12755,10404,25510,Andrews
6,32,1,0.318993807,0.191009283,12755,10404,25510,Andrews
6,32,2,0.099000454,0.096034527,12755,10404,25510,Andrews
6,32,3,0.192007780,0.096033096,12755,10404,25510,Andrews
6,32,4,0.383981466,0.287997484,12755,10404,25510,Andrews
6,32,5,0.287988186,0.192054510,12755,10404,25510,Andrews
6,32,6,0.193990946,0.192044735,12755,10404,25510,Andrews
6,32,7,0.194980145,0.192046881,12755,10404,25510,Andrews
6,32,8,0.193206549,0.192035198,12755,10404,25510,Andrews
6,32,9,0.098597527,0.096070766,12755,10404,25510,Andrews
31,32,0,0.179196835,0.176043987,12985,10662,25970,Andrews
31,32,1,0.185993195,0.176050186,12985,10662,25970,Andrews
31,32,2,0.000390530,0.000277519,12985,10662,25970,Andrews
31,32,3,0.091989994,0.088072777,12985,10662,25970,Andrews
31,32,4,0.190993547,0.184035301,12985,10662,25970,Andrews
31,32,5,0.090988874,0.088055134,12985,10662,25970,Andrews
31,32,6,0.092968225,0.088025570,12985,10662,25970,Andrews
31,32,7,0.089955091,0.088034868,12985,10662,25970,Andrews
31,32,8,0.184955835,0.176001549,12985,10662,25970,Andrews
31,32,9,0.089998007,0.088103533,12985,10662,25970,Andrews
10,32,0,0.192982674,0.191999674,12701,10351,25402,Andrews
