rank,num_procs,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops
0,1,0,0.001588106,0.000000715,500109,0,1000218
0,1,1,0.001593113,0.000000715,500109,0,1000218
0,1,2,0.001590729,0.000000477,500109,0,1000218
0,1,3,0.001595020,0.000000715,500109,0,1000218
0,1,4,0.001598597,0.000000715,500109,0,1000218
0,1,5,0.001587868,0.000000715,500109,0,1000218
0,1,6,0.001592398,0.000000715,500109,0,1000218
0,1,7,0.001589060,0.000000715,500109,0,1000218
0,1,8,0.001596689,0.000000715,500109,0,1000218
0,1,9,0.001601934,0.000000477,500109,0,1000218
0,2,0,0.006332397,0.000667572,500109,249636,1000218
0,2,1,0.006272078,0.000602484,500109,249636,1000218
0,2,2,0.006241798,0.000566244,500109,249636,1000218
0,2,3,0.006237268,0.000582218,500109,249636,1000218
0,2,4,0.006226063,0.000576496,500109,249636,1000218
0,2,5,0.006233931,0.000577211,500109,249636,1000218
0,2,6,0.006227493,0.000571251,500109,249636,1000218
0,2,7,0.006224632,0.000568867,500109,249636,1000218
0,2,8,0.006196976,0.000558853,500109,249636,1000218
0,2,9,0.006211996,0.000557423,500109,249636,1000218
1,2,0,0.006325483,0.000645161,499877,250129,999754
1,2,1,0.006242990,0.000581503,499877,250129,999754
1,2,2,0.006238222,0.000582695,499877,250129,999754
1,2,3,0.006219387,0.000561237,499877,250129,999754
1,2,4,0.006220102,0.000554800,499877,250129,999754
1,2,5,0.006232262,0.000553370,499877,250129,999754
1,2,6,0.006226063,0.000549316,499877,250129,999754
1,2,7,0.006251335,0.000583887,499877,250129,999754
1,2,8,0.006232262,0.000577450,499877,250129,999754
1,2,9,0.006244898,0.000573874,499877,250129,999754
0,4,0,0.006517172,0.002288103,500109,375097,1000218
0,4,1,0.005537271,0.001319647,500109,375097,1000218
0,4,2,0.005594492,0.001319170,500109,375097,1000218
0,4,3,0.005604982,0.001384020,500109,375097,1000218
0,4,4,0.005425692,0.001255512,500109,375097,1000218
0,4,5,0.005474806,0.001317501,500109,375097,1000218
0,4,6,0.005385160,0.001251698,500109,375097,1000218
0,4,7,0.005344629,0.001167774,500109,375097,1000218
0,4,8,0.005328178,0.001188993,500109,375097,1000218
0,4,9,0.005350828,0.001187563,500109,375097,1000218
1,4,0,0.006837606,0.002626419,499877,374927,999754
1,4,1,0.005540133,0.001343250,499877,374927,999754
1,4,2,0.005621433,0.001339674,499877,374927,999754
1,4,3,0.005543232,0.001321316,499877,374927,999754
1,4,4,0.005432129,0.001262903,499877,374927,999754
1,4,5,0.005500555,0.001340389,499877,374927,999754
1,4,6,0.005379438,0.001232386,499877,374927,999754
1,4,7,0.005332470,0.001188993,499877,374927,999754
1,4,8,0.005346298,0.001213312,499877,374927,999754
1,4,9,0.005363226,0.001213074,499877,374927,999754
2,4,0,0.006600142,0.002366066,499748,374720,999496
2,4,1,0.005576849,0.001368284,499748,374720,999496
2,4,2,0.005619287,0.001310349,499748,374720,999496
2,4,3,0.005567789,0.001345158,499748,374720,999496
2,4,4,0.005461693,0.001277208,499748,374720,999496
2,4,5,0.005530834,0.001350880,499748,374720,999496
2,4,6,0.005403519,0.001227140,499748,374720,999496
2,4,7,0.005371094,0.001212597,499748,374720,999496
2,4,8,0.005416870,0.001256227,499748,374720,999496
2,4,9,0.005407572,0.001227856,499748,374720,999496
3,4,0,0.006866932,0.002649069,499898,374377,999796
3,4,1,0.005509615,0.001290321,499898,374377,999796
3,4,2,0.005580902,0.001286507,499898,374377,999796
3,4,3,0.005584717,0.001358747,499898,374377,999796
3,4,4,0.005486727,0.001285791,499898,374377,999796
3,4,5,0.005578279,0.001372814,499898,374377,999796
3,4,6,0.005380869,0.001216888,499898,374377,999796
3,4,7,0.005348206,0.001189232,499898,374377,999796
3,4,8,0.005395889,0.001231194,499898,374377,999796
3,4,9,0.005432367,0.001250267,499898,374377,999796
2,8,0,0.007434130,0.003823757,499748,437445,999496
2,8,1,0.005789518,0.002278090,499748,437445,999496
2,8,2,0.005766153,0.002155542,499748,437445,999496
2,8,3,0.005689383,0.002187014,499748,437445,999496
2,8,4,0.005666494,0.002111673,499748,437445,999496
2,8,5,0.005768538,0.002235174,499748,437445,999496
2,8,6,0.005783796,0.002278566,499748,437445,999496
2,8,7,0.005890131,0.002322674,499748,437445,999496
2,8,8,0.005568981,0.002097607,499748,437445,999496
2,8,9,0.005534410,0.002114058,499748,437445,999496
7,8,0,0.007062912,0.003477097,500058,437467,1000116
7,8,1,0.005855799,0.002348661,500058,437467,1000116
7,8,2,0.006008863,0.002401114,500058,437467,1000116
7,8,3,0.005742073,0.002238035,500058,437467,1000116
7,8,4,0.005744219,0.002184153,500058,437467,1000116
7,8,5,0.005908489,0.002387762,500058,437467,1000116
7,8,6,0.005836248,0.002332211,500058,437467,1000116
7,8,7,0.005892277,0.002348423,500058,437467,1000116
7,8,8,0.005849600,0.002379894,500058,437467,1000116
7,8,9,0.005743980,0.002329826,500058,437467,1000116
3,8,0,0.008224249,0.003960133,499898,437328,999796
3,8,1,0.006090879,0.002196550,499898,437328,999796
3,8,2,0.006152391,0.002308846,499898,437328,999796
3,8,3,0.005852222,0.002066135,499898,437328,999796
3,8,4,0.005974054,0.002166986,499898,437328,999796
