rank,num_procs,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops
0,1,0,0.000832558,0.000001669,500109,0,1000218
0,1,1,0.000823259,0.000000954,500109,0,1000218
0,1,2,0.000818014,0.000000954,500109,0,1000218
0,1,3,0.000812769,0.000001192,500109,0,1000218
0,1,4,0.000815630,0.000000954,500109,0,1000218
0,1,5,0.000794172,0.000000954,500109,0,1000218
0,1,6,0.000806570,0.000000715,500109,0,1000218
0,1,7,0.000809908,0.000000954,500109,0,1000218
0,1,8,0.000806808,0.000000954,500109,0,1000218
0,1,9,0.000804424,0.000000954,500109,0,1000218
1,2,0,0.392518520,0.390017748,499877,250129,999754
1,2,1,0.389536858,0.387014151,499877,250129,999754
1,2,2,0.404083967,0.390056849,499877,250129,999754
1,2,3,0.388512611,0.386024952,499877,250129,999754
1,2,4,0.384774446,0.382011175,499877,250129,999754
1,2,5,0.392644644,0.390010357,499877,250129,999754
1,2,6,0.386535168,0.384015083,499877,250129,999754
1,2,7,0.392508507,0.390001059,499877,250129,999754
1,2,8,0.391517878,0.389019251,499877,250129,999754
1,2,9,0.392510653,0.390013456,499877,250129,999754
0,2,0,0.418119192,0.416034222,500109,249636,1000218
0,2,1,0.412915468,0.410911560,500109,249636,1000218
0,2,2,0.413127661,0.402675629,500109,249636,1000218
0,2,3,0.414060354,0.412054062,500109,249636,1000218
0,2,4,0.408119440,0.405975819,500109,249636,1000218
0,2,5,0.415976524,0.413847923,500109,249636,1000218
0,2,6,0.409883976,0.407864332,500109,249636,1000218
0,2,7,0.416007757,0.413974524,500109,249636,1000218
0,2,8,0.415124655,0.412963867,500109,249636,1000218
0,2,9,0.415965796,0.413833141,500109,249636,1000218
1,4,0,0.282163382,0.280050993,499877,374927,999754
1,4,1,0.338014841,0.336035013,499877,374927,999754
1,4,2,0.337975740,0.336041451,499877,374927,999754
1,4,3,0.338391066,0.336029053,499877,374927,999754
1,4,4,0.338338137,0.336019993,499877,374927,999754
1,4,5,0.314005613,0.308049202,499877,374927,999754
1,4,6,0.366219282,0.364041567,499877,374927,999754
1,4,7,0.437003851,0.420084000,499877,374927,999754
1,4,8,0.366255522,0.364024162,499877,374927,999754
1,4,9,0.366668224,0.364033699,499877,374927,999754
0,4,0,0.338177443,0.336050749,500109,375097,1000218
0,4,1,0.363761902,0.361866951,500109,375097,1000218
0,4,2,0.363996744,0.362096071,500109,375097,1000218
0,4,3,0.364135504,0.362137794,500109,375097,1000218
0,4,4,0.366163731,0.364088774,500109,375097,1000218
0,4,5,0.337967157,0.336044788,500109,375097,1000218
0,4,6,0.364419699,0.362063885,500109,375097,1000218
0,4,7,0.398371935,0.392140627,500109,375097,1000218
0,4,8,0.394149065,0.392109394,500109,375097,1000218
0,4,9,0.394087553,0.392050505,500109,375097,1000218
3,4,0,0.282088280,0.280031919,499898,374377,999796
3,4,1,0.282397509,0.280056000,499898,374377,999796
3,4,2,0.309967756,0.308037281,499898,374377,999796
