matrix,mode,opt_level,schedule,chunk_size,num_threads,perf,run,value
1138_bus.mtx,sequential,,none,none,1,no,1,0.000039
1138_bus.mtx,sequential,,none,none,1,no,2,0.000016
1138_bus.mtx,sequential,,none,none,1,no,3,0.000017
1138_bus.mtx,sequential,,none,none,1,no,4,0.000016
1138_bus.mtx,sequential,,none,none,1,no,5,0.000017
1138_bus.mtx,sequential,,none,none,1,no,6,0.000036
1138_bus.mtx,sequential,,none,none,1,no,7,0.000037
1138_bus.mtx,sequential,,none,none,1,no,8,0.000018
1138_bus.mtx,sequential,,none,none,1,no,9,0.000018
1138_bus.mtx,sequential,,none,none,1,no,10,0.000032
1138_bus.mtx,sequential,,none,none,1,yes,1,ERROR
1138_bus.mtx,sequential,,none,none,1,yes,2,ERROR
1138_bus.mtx,sequential,,none,none,1,yes,3,ERROR
1138_bus.mtx,sequential,,none,none,1,yes,4,ERROR
1138_bus.mtx,sequential,,none,none,1,yes,5,ERROR
1138_bus.mtx,sequential,,none,none,1,yes,6,ERROR
1138_bus.mtx,sequential,,none,none,1,yes,7,ERROR
1138_bus.mtx,sequential,,none,none,1,yes,8,ERROR
1138_bus.mtx,sequential,,none,none,1,yes,9,ERROR
1138_bus.mtx,sequential,,none,none,1,yes,10,ERROR
1138_bus.mtx,sequential,-O1,none,none,1,no,1,0.000017
1138_bus.mtx,sequential,-O1,none,none,1,no,2,0.000009
1138_bus.mtx,sequential,-O1,none,none,1,no,3,0.000008
1138_bus.mtx,sequential,-O1,none,none,1,no,4,0.000008
1138_bus.mtx,sequential,-O1,none,none,1,no,5,0.000009
1138_bus.mtx,sequential,-O1,none,none,1,no,6,0.000008
1138_bus.mtx,sequential,-O1,none,none,1,no,7,0.000009
1138_bus.mtx,sequential,-O1,none,none,1,no,8,0.000009
1138_bus.mtx,sequential,-O1,none,none,1,no,9,0.000009
1138_bus.mtx,sequential,-O1,none,none,1,no,10,0.000008
1138_bus.mtx,sequential,-O1,none,none,1,yes,1,ERROR
1138_bus.mtx,sequential,-O1,none,none,1,yes,2,ERROR
1138_bus.mtx,sequential,-O1,none,none,1,yes,3,ERROR
1138_bus.mtx,sequential,-O1,none,none,1,yes,4,ERROR
1138_bus.mtx,sequential,-O1,none,none,1,yes,5,ERROR
1138_bus.mtx,sequential,-O1,none,none,1,yes,6,ERROR
1138_bus.mtx,sequential,-O1,none,none,1,yes,7,ERROR
1138_bus.mtx,sequential,-O1,none,none,1,yes,8,ERROR
1138_bus.mtx,sequential,-O1,none,none,1,yes,9,ERROR
1138_bus.mtx,sequential,-O1,none,none,1,yes,10,ERROR
1138_bus.mtx,sequential,-O2,none,none,1,no,1,0.000000
1138_bus.mtx,sequential,-O2,none,none,1,no,2,0.000000
1138_bus.mtx,sequential,-O2,none,none,1,no,3,0.000000
1138_bus.mtx,sequential,-O2,none,none,1,no,4,0.000000
1138_bus.mtx,sequential,-O2,none,none,1,no,5,0.000000
1138_bus.mtx,sequential,-O2,none,none,1,no,6,0.000000
1138_bus.mtx,sequential,-O2,none,none,1,no,7,0.000000
1138_bus.mtx,sequential,-O2,none,none,1,no,8,0.000000
1138_bus.mtx,sequential,-O2,none,none,1,no,9,0.000000
1138_bus.mtx,sequential,-O2,none,none,1,no,10,0.000000
1138_bus.mtx,sequential,-O2,none,none,1,yes,1,ERROR
1138_bus.mtx,sequential,-O2,none,none,1,yes,2,ERROR
1138_bus.mtx,sequential,-O2,none,none,1,yes,3,ERROR
1138_bus.mtx,sequential,-O2,none,none,1,yes,4,ERROR
1138_bus.mtx,sequential,-O2,none,none,1,yes,5,ERROR
1138_bus.mtx,sequential,-O2,none,none,1,yes,6,ERROR
1138_bus.mtx,sequential,-O2,none,none,1,yes,7,ERROR
1138_bus.mtx,sequential,-O2,none,none,1,yes,8,ERROR
1138_bus.mtx,sequential,-O2,none,none,1,yes,9,ERROR
1138_bus.mtx,sequential,-O2,none,none,1,yes,10,ERROR
1138_bus.mtx,sequential,-O3,none,none,1,no,1,0.000001
1138_bus.mtx,sequential,-O3,none,none,1,no,2,0.000000
1138_bus.mtx,sequential,-O3,none,none,1,no,3,0.000000
1138_bus.mtx,sequential,-O3,none,none,1,no,4,0.000000
1138_bus.mtx,sequential,-O3,none,none,1,no,5,0.000000
1138_bus.mtx,sequential,-O3,none,none,1,no,6,0.000000
1138_bus.mtx,sequential,-O3,none,none,1,no,7,0.000000
1138_bus.mtx,sequential,-O3,none,none,1,no,8,0.000000
1138_bus.mtx,sequential,-O3,none,none,1,no,9,0.000000
1138_bus.mtx,sequential,-O3,none,none,1,no,10,0.000000
1138_bus.mtx,sequential,-O3,none,none,1,yes,1,ERROR
1138_bus.mtx,sequential,-O3,none,none,1,yes,2,ERROR
1138_bus.mtx,sequential,-O3,none,none,1,yes,3,ERROR
1138_bus.mtx,sequential,-O3,none,none,1,yes,4,ERROR
1138_bus.mtx,sequential,-O3,none,none,1,yes,5,ERROR
1138_bus.mtx,sequential,-O3,none,none,1,yes,6,ERROR
1138_bus.mtx,sequential,-O3,none,none,1,yes,7,ERROR
1138_bus.mtx,sequential,-O3,none,none,1,yes,8,ERROR
1138_bus.mtx,sequential,-O3,none,none,1,yes,9,ERROR
1138_bus.mtx,sequential,-O3,none,none,1,yes,10,ERROR
1138_bus.mtx,sequential,-Ofast,none,none,1,no,1,0.000000
1138_bus.mtx,sequential,-Ofast,none,none,1,no,2,0.000001
1138_bus.mtx,sequential,-Ofast,none,none,1,no,3,0.000000
1138_bus.mtx,sequential,-Ofast,none,none,1,no,4,-0.000000
1138_bus.mtx,sequential,-Ofast,none,none,1,no,5,0.000000
1138_bus.mtx,sequential,-Ofast,none,none,1,no,6,-0.000000
1138_bus.mtx,sequential,-Ofast,none,none,1,no,7,0.000000
1138_bus.mtx,sequential,-Ofast,none,none,1,no,8,-0.000000
1138_bus.mtx,sequential,-Ofast,none,none,1,no,9,0.000000
1138_bus.mtx,sequential,-Ofast,none,none,1,no,10,-0.000000
1138_bus.mtx,sequential,-Ofast,none,none,1,yes,1,ERROR
1138_bus.mtx,sequential,-Ofast,none,none,1,yes,2,ERROR
1138_bus.mtx,sequential,-Ofast,none,none,1,yes,3,ERROR
1138_bus.mtx,sequential,-Ofast,none,none,1,yes,4,ERROR
1138_bus.mtx,sequential,-Ofast,none,none,1,yes,5,ERROR
1138_bus.mtx,sequential,-Ofast,none,none,1,yes,6,ERROR
1138_bus.mtx,sequential,-Ofast,none,none,1,yes,7,ERROR
1138_bus.mtx,sequential,-Ofast,none,none,1,yes,8,ERROR
1138_bus.mtx,sequential,-Ofast,none,none,1,yes,9,ERROR
1138_bus.mtx,sequential,-Ofast,none,none,1,yes,10,ERROR
ash85.mtx,sequential,,none,none,1,no,1,0.000001
ash85.mtx,sequential,,none,none,1,no,2,0.000001
ash85.mtx,sequential,,none,none,1,no,3,0.000001
ash85.mtx,sequential,,none,none,1,no,4,0.000002
ash85.mtx,sequential,,none,none,1,no,5,0.000001
ash85.mtx,sequential,,none,none,1,no,6,0.000001
ash85.mtx,sequential,,none,none,1,no,7,0.000001
ash85.mtx,sequential,,none,none,1,no,8,0.000001
ash85.mtx,sequential,,none,none,1,no,9,0.000001
ash85.mtx,sequential,,none,none,1,no,10,0.000002
ash85.mtx,sequential,,none,none,1,yes,1,ERROR
ash85.mtx,sequential,,none,none,1,yes,2,ERROR
ash85.mtx,sequential,,none,none,1,yes,3,ERROR
ash85.mtx,sequential,,none,none,1,yes,4,ERROR
ash85.mtx,sequential,,none,none,1,yes,5,ERROR
ash85.mtx,sequential,,none,none,1,yes,6,ERROR
ash85.mtx,sequential,,none,none,1,yes,7,ERROR
ash85.mtx,sequential,,none,none,1,yes,8,ERROR
ash85.mtx,sequential,,none,none,1,yes,9,ERROR
ash85.mtx,sequential,,none,none,1,yes,10,ERROR
ash85.mtx,sequential,-O1,none,none,1,no,1,0.000001
ash85.mtx,sequential,-O1,none,none,1,no,2,0.000002
ash85.mtx,sequential,-O1,none,none,1,no,3,0.000001
ash85.mtx,sequential,-O1,none,none,1,no,4,0.000002
ash85.mtx,sequential,-O1,none,none,1,no,5,0.000001
ash85.mtx,sequential,-O1,none,none,1,no,6,0.000000
ash85.mtx,sequential,-O1,none,none,1,no,7,0.000002
ash85.mtx,sequential,-O1,none,none,1,no,8,0.000001
ash85.mtx,sequential,-O1,none,none,1,no,9,0.000001
ash85.mtx,sequential,-O1,none,none,1,no,10,0.000001
ash85.mtx,sequential,-O1,none,none,1,yes,1,ERROR
ash85.mtx,sequential,-O1,none,none,1,yes,2,ERROR
ash85.mtx,sequential,-O1,none,none,1,yes,3,ERROR
ash85.mtx,sequential,-O1,none,none,1,yes,4,ERROR
ash85.mtx,sequential,-O1,none,none,1,yes,5,ERROR
ash85.mtx,sequential,-O1,none,none,1,yes,6,ERROR
ash85.mtx,sequential,-O1,none,none,1,yes,7,ERROR
ash85.mtx,sequential,-O1,none,none,1,yes,8,ERROR
ash85.mtx,sequential,-O1,none,none,1,yes,9,ERROR
ash85.mtx,sequential,-O1,none,none,1,yes,10,ERROR
ash85.mtx,sequential,-O2,none,none,1,no,1,0.000000
ash85.mtx,sequential,-O2,none,none,1,no,2,0.000000
ash85.mtx,sequential,-O2,none,none,1,no,3,0.000000
ash85.mtx,sequential,-O2,none,none,1,no,4,0.000000
ash85.mtx,sequential,-O2,none,none,1,no,5,0.000000
ash85.mtx,sequential,-O2,none,none,1,no,6,0.000000
ash85.mtx,sequential,-O2,none,none,1,no,7,0.000000
ash85.mtx,sequential,-O2,none,none,1,no,8,0.000000
ash85.mtx,sequential,-O2,none,none,1,no,9,0.000000
ash85.mtx,sequential,-O2,none,none,1,no,10,0.000000
ash85.mtx,sequential,-O2,none,none,1,yes,1,ERROR
ash85.mtx,sequential,-O2,none,none,1,yes,2,ERROR
ash85.mtx,sequential,-O2,none,none,1,yes,3,ERROR
ash85.mtx,sequential,-O2,none,none,1,yes,4,ERROR
ash85.mtx,sequential,-O2,none,none,1,yes,5,ERROR
ash85.mtx,sequential,-O2,none,none,1,yes,6,ERROR
ash85.mtx,sequential,-O2,none,none,1,yes,7,ERROR
ash85.mtx,sequential,-O2,none,none,1,yes,8,ERROR
ash85.mtx,sequential,-O2,none,none,1,yes,9,ERROR
ash85.mtx,sequential,-O2,none,none,1,yes,10,ERROR
ash85.mtx,sequential,-O3,none,none,1,no,1,0.000000
ash85.mtx,sequential,-O3,none,none,1,no,2,0.000000
ash85.mtx,sequential,-O3,none,none,1,no,3,0.000000
ash85.mtx,sequential,-O3,none,none,1,no,4,0.000000
ash85.mtx,sequential,-O3,none,none,1,no,5,0.000000
ash85.mtx,sequential,-O3,none,none,1,no,6,0.000000
ash85.mtx,sequential,-O3,none,none,1,no,7,0.000000
ash85.mtx,sequential,-O3,none,none,1,no,8,0.000000
ash85.mtx,sequential,-O3,none,none,1,no,9,0.000000
ash85.mtx,sequential,-O3,none,none,1,no,10,0.000000
ash85.mtx,sequential,-O3,none,none,1,yes,1,ERROR
