matrix,mode,opt_level,schedule,chunk_size,num_threads,perc90_elapsed_time
Andrews.mtx,parallel,-O3,dynamic,1000,1,0.00081
Andrews.mtx,parallel,-O3,dynamic,10000,2,0.00239
Andrews.mtx,parallel,-O3,dynamic,1000,4,0.00299
Andrews.mtx,parallel,-O3,dynamic,1000,8,0.00283
Andrews.mtx,parallel,-O3,dynamic,1000,16,0.00259
Andrews.mtx,parallel,-O3,dynamic,1000,32,0.00257
Andrews.mtx,parallel,-O3,dynamic,1000,64,0.00269
Andrews.mtx,parallel,-O3,guided,1,1,0.00081
Andrews.mtx,parallel,-O3,guided,10,2,0.00246
Andrews.mtx,parallel,-O3,guided,10000,4,0.00256
Andrews.mtx,parallel,-O3,guided,1000,8,0.00272
Andrews.mtx,parallel,-O3,guided,100,16,0.00248
Andrews.mtx,parallel,-O3,guided,1000,32,0.00226
Andrews.mtx,parallel,-O3,guided,100,64,0.0029
Andrews.mtx,parallel,-O3,static,1,1,0.0008
Andrews.mtx,parallel,-O3,static,1000,2,0.00235
Andrews.mtx,parallel,-O3,static,10000,4,0.00253
Andrews.mtx,parallel,-O3,static,10000,8,0.00248
Andrews.mtx,parallel,-O3,static,1000,16,0.00252
Andrews.mtx,parallel,-O3,static,1000,32,0.00246
Andrews.mtx,parallel,-O3,static,100,64,0.00405
Andrews.mtx,sequential,-O3,none,none,1,0.00075
Hook_1498.mtx,parallel,-O3,dynamic,10000,1,0.04238
Hook_1498.mtx,parallel,-O3,dynamic,10000,2,0.17394
Hook_1498.mtx,parallel,-O3,dynamic,10000,4,0.19228
Hook_1498.mtx,parallel,-O3,dynamic,1000,8,0.12592
Hook_1498.mtx,parallel,-O3,dynamic,10000,16,0.12612
Hook_1498.mtx,parallel,-O3,dynamic,10000,32,0.11619
Hook_1498.mtx,parallel,-O3,dynamic,1000,64,0.13997
Hook_1498.mtx,parallel,-O3,guided,1,1,0.04208
Hook_1498.mtx,parallel,-O3,guided,1000,2,0.15016
Hook_1498.mtx,parallel,-O3,guided,10,4,0.1593
Hook_1498.mtx,parallel,-O3,guided,10000,8,0.12897
Hook_1498.mtx,parallel,-O3,guided,10000,16,0.12848
Hook_1498.mtx,parallel,-O3,guided,1000,32,0.11434
Hook_1498.mtx,parallel,-O3,guided,100,64,0.13161
Hook_1498.mtx,parallel,-O3,static,10000,1,0.04202
Hook_1498.mtx,parallel,-O3,static,10000,2,0.14547
Hook_1498.mtx,parallel,-O3,static,10000,4,0.16974
Hook_1498.mtx,parallel,-O3,static,100,8,0.13413
Hook_1498.mtx,parallel,-O3,static,1000,16,0.12703
