matrix,mode,opt_level,schedule,chunk_size,num_threads,perc90_elapsed_time
Andrews.mtx,sequential,-O3,none,none,1,0.74177
bcsstk27.mtx,sequential,-O3,none,none,1,0.02618
Hook_1498.mtx,sequential,-O3,none,none,1,44.50467
msdoor.mtx,sequential,-O3,none,none,1,13.97696
tmt_sym.mtx,sequential,-O3,none,none,1,5.25751
Andrews.mtx,parallel,-O3,static,1,1,0.71034
Andrews.mtx,parallel,-O3,static,1,2,3.40826
Andrews.mtx,parallel,-O3,static,1,4,1.80478
Andrews.mtx,parallel,-O3,static,1,8,1.11871
Andrews.mtx,parallel,-O3,static,1,16,1.20606
Andrews.mtx,parallel,-O3,static,1,32,0.67606
Andrews.mtx,parallel,-O3,static,1,64,1.61006
Andrews.mtx,parallel,-O3,static,10,1,0.74084
Andrews.mtx,parallel,-O3,static,10,2,1.57256
Andrews.mtx,parallel,-O3,static,10,4,1.10061
Andrews.mtx,parallel,-O3,static,10,8,0.62404
Andrews.mtx,parallel,-O3,static,10,16,0.55869
Andrews.mtx,parallel,-O3,static,10,32,0.92237
Andrews.mtx,parallel,-O3,static,10,64,0.97866
Andrews.mtx,parallel,-O3,static,100,1,0.73133
Andrews.mtx,parallel,-O3,static,100,2,1.30994
Andrews.mtx,parallel,-O3,static,100,4,0.74472
Andrews.mtx,parallel,-O3,static,100,8,0.4163
Andrews.mtx,parallel,-O3,static,100,16,0.30475
Andrews.mtx,parallel,-O3,static,100,32,0.28739
Andrews.mtx,parallel,-O3,static,100,64,0.34127
Andrews.mtx,parallel,-O3,static,1000,1,0.74811
Andrews.mtx,parallel,-O3,static,1000,2,1.3139
Andrews.mtx,parallel,-O3,static,1000,4,0.69795
Andrews.mtx,parallel,-O3,static,1000,8,0.42062
Andrews.mtx,parallel,-O3,static,1000,16,0.28434
Andrews.mtx,parallel,-O3,static,1000,32,0.22955
Andrews.mtx,parallel,-O3,static,1000,64,0.26829
Andrews.mtx,parallel,-O3,static,10000,1,0.74265
Andrews.mtx,parallel,-O3,static,10000,2,1.37384
Andrews.mtx,parallel,-O3,static,10000,4,0.96369
Andrews.mtx,parallel,-O3,static,10000,8,0.87192
Andrews.mtx,parallel,-O3,static,10000,16,0.61314
Andrews.mtx,parallel,-O3,static,10000,32,0.65515
Andrews.mtx,parallel,-O3,static,10000,64,0.74916
Andrews.mtx,parallel,-O3,dynamic,1,1,1.64325
Andrews.mtx,parallel,-O3,dynamic,1,2,8.43785
Andrews.mtx,parallel,-O3,dynamic,1,4,7.94189
Andrews.mtx,parallel,-O3,dynamic,1,8,7.58772
Andrews.mtx,parallel,-O3,dynamic,1,16,6.2269
Andrews.mtx,parallel,-O3,dynamic,1,32,5.92177
Andrews.mtx,parallel,-O3,dynamic,1,64,5.54762
Andrews.mtx,parallel,-O3,dynamic,10,1,0.87304
Andrews.mtx,parallel,-O3,dynamic,10,2,2.04511
Andrews.mtx,parallel,-O3,dynamic,10,4,1.47228
Andrews.mtx,parallel,-O3,dynamic,10,8,1.08261
Andrews.mtx,parallel,-O3,dynamic,10,16,0.96886
Andrews.mtx,parallel,-O3,dynamic,10,32,1.29054
Andrews.mtx,parallel,-O3,dynamic,10,64,1.65327
Andrews.mtx,parallel,-O3,dynamic,100,1,0.73729
Andrews.mtx,parallel,-O3,dynamic,100,2,0.86901
Andrews.mtx,parallel,-O3,dynamic,100,4,0.62814
Andrews.mtx,parallel,-O3,dynamic,100,8,0.43919
Andrews.mtx,parallel,-O3,dynamic,100,16,0.31755
Andrews.mtx,parallel,-O3,dynamic,100,32,0.32062
Andrews.mtx,parallel,-O3,dynamic,100,64,0.38371
Andrews.mtx,parallel,-O3,dynamic,1000,1,0.70431
Andrews.mtx,parallel,-O3,dynamic,1000,2,0.70097
Andrews.mtx,parallel,-O3,dynamic,1000,4,0.53501
Andrews.mtx,parallel,-O3,dynamic,1000,8,0.38493
Andrews.mtx,parallel,-O3,dynamic,1000,16,0.29206
Andrews.mtx,parallel,-O3,dynamic,1000,32,0.29147
Andrews.mtx,parallel,-O3,dynamic,1000,64,0.33777
Andrews.mtx,parallel,-O3,dynamic,10000,1,0.70519
Andrews.mtx,parallel,-O3,dynamic,10000,2,0.90108
Andrews.mtx,parallel,-O3,dynamic,10000,4,0.92201
Andrews.mtx,parallel,-O3,dynamic,10000,8,0.67832
