matrix,mode,opt_level,schedule,chunk_size,num_threads,elapsed_time,L1_miss_rate,LLC_miss_rate
Andrews.mtx,sequential,-O3,none,none,1,0.00134,1.01,13.227
bcsstk27.mtx,sequential,-O3,none,none,1,6e-05,0.221,5.543
Hook_1498.mtx,sequential,-O3,none,none,1,0.04151,0.24,26.829
msdoor.mtx,sequential,-O3,none,none,1,0.01789,0.24,43.423
tmt_sym.mtx,sequential,-O3,none,none,1,0.00863,0.23,33.333
Andrews.mtx,parallel,-O3,static,1,1,0.00274,0.99,8.831
Andrews.mtx,parallel,-O3,static,1,2,0.02718,1.071,27.491
Andrews.mtx,parallel,-O3,static,1,4,0.05932,1.171,13.113
Andrews.mtx,parallel,-O3,static,1,8,0.04925,1.231,18.881
Andrews.mtx,parallel,-O3,static,1,16,0.05317,1.22,21.429
Andrews.mtx,parallel,-O3,static,1,32,0.08223,1.192,19.195
Andrews.mtx,parallel,-O3,static,1,64,0.09104,1.091,17.495
Andrews.mtx,parallel,-O3,static,10,1,0.00143,0.99,9.671
Andrews.mtx,parallel,-O3,static,10,2,0.00961,1.05,19.083
Andrews.mtx,parallel,-O3,static,10,4,0.0314,1.051,23.986
Andrews.mtx,parallel,-O3,static,10,8,0.07334,1.041,20.614
Andrews.mtx,parallel,-O3,static,10,16,0.06714,1.032,20.608
Andrews.mtx,parallel,-O3,static,10,32,0.05077,0.993,17.602
Andrews.mtx,parallel,-O3,static,10,64,0.07963,0.94,16.067
Andrews.mtx,parallel,-O3,static,100,1,0.00141,0.99,7.379
Andrews.mtx,parallel,-O3,static,100,2,0.02596,1.01,14.294
Andrews.mtx,parallel,-O3,static,100,4,0.02942,1.01,15.389
Andrews.mtx,parallel,-O3,static,100,8,0.05672,1.01,14.105
Andrews.mtx,parallel,-O3,static,100,16,0.0933,1.011,16.604
Andrews.mtx,parallel,-O3,static,100,32,0.04714,0.971,14.435
Andrews.mtx,parallel,-O3,static,100,64,0.05863,0.891,12.716
Andrews.mtx,parallel,-O3,static,1000,1,0.00143,0.99,9.252
Andrews.mtx,parallel,-O3,static,1000,2,0.02192,1.0,12.628
Andrews.mtx,parallel,-O3,static,1000,4,0.05928,1.0,11.088
Andrews.mtx,parallel,-O3,static,1000,8,0.02648,1.001,16.685
Andrews.mtx,parallel,-O3,static,1000,16,0.05801,0.99,18.514
Andrews.mtx,parallel,-O3,static,1000,32,0.07447,0.94,14.911
Andrews.mtx,parallel,-O3,static,1000,64,0.06122,0.88,14.026
Andrews.mtx,parallel,-O3,static,10000,1,0.00142,0.99,11.066
Andrews.mtx,parallel,-O3,static,10000,2,0.00584,1.0,13.621
Andrews.mtx,parallel,-O3,static,10000,4,0.06238,1.0,15.418
Andrews.mtx,parallel,-O3,static,10000,8,0.0256,0.991,22.734
Andrews.mtx,parallel,-O3,static,10000,16,0.02814,0.981,25.329
Andrews.mtx,parallel,-O3,static,10000,32,0.05869,0.961,23.512
Andrews.mtx,parallel,-O3,static,10000,64,0.05754,0.871,26.231
Andrews.mtx,parallel,-O3,dynamic,1,1,0.00256,0.981,9.059
Andrews.mtx,parallel,-O3,dynamic,1,2,0.02707,1.155,43.947
Andrews.mtx,parallel,-O3,dynamic,1,4,0.04943,1.392,20.383
Andrews.mtx,parallel,-O3,dynamic,1,8,0.06084,1.522,14.673
Andrews.mtx,parallel,-O3,dynamic,1,16,0.07999,1.55,14.603
Andrews.mtx,parallel,-O3,dynamic,1,32,0.0857,1.522,13.862
Andrews.mtx,parallel,-O3,dynamic,1,64,0.07982,1.404,12.38
Andrews.mtx,parallel,-O3,dynamic,10,1,0.01464,0.99,11.251
Andrews.mtx,parallel,-O3,dynamic,10,2,0.02558,1.151,15.786
Andrews.mtx,parallel,-O3,dynamic,10,4,0.03963,1.101,16.142
Andrews.mtx,parallel,-O3,dynamic,10,8,0.04897,1.09,19.448
Andrews.mtx,parallel,-O3,dynamic,10,16,0.0543,1.061,23.279
Andrews.mtx,parallel,-O3,dynamic,10,32,0.06085,0.994,18.968
Andrews.mtx,parallel,-O3,dynamic,10,64,0.0789,0.93,16.005
Andrews.mtx,parallel,-O3,dynamic,100,1,0.00144,0.99,11.49
Andrews.mtx,parallel,-O3,dynamic,100,2,0.02559,1.01,12.301
Andrews.mtx,parallel,-O3,dynamic,100,4,0.02657,1.01,17.183
Andrews.mtx,parallel,-O3,dynamic,100,8,0.0512,1.01,16.517
Andrews.mtx,parallel,-O3,dynamic,100,16,0.0465,0.991,14.893
Andrews.mtx,parallel,-O3,dynamic,100,32,0.04896,0.951,14.807
Andrews.mtx,parallel,-O3,dynamic,100,64,0.06805,0.89,13.074
Andrews.mtx,parallel,-O3,dynamic,1000,1,0.0014,0.99,10.638
Andrews.mtx,parallel,-O3,dynamic,1000,2,0.0164,1.0,12.371
Andrews.mtx,parallel,-O3,dynamic,1000,4,0.05967,1.0,18.471
Andrews.mtx,parallel,-O3,dynamic,1000,8,0.02555,1.0,14.694
Andrews.mtx,parallel,-O3,dynamic,1000,16,0.08915,0.99,16.554
Andrews.mtx,parallel,-O3,dynamic,1000,32,0.05324,0.941,16.12
Andrews.mtx,parallel,-O3,dynamic,1000,64,0.09971,0.871,13.285
Andrews.mtx,parallel,-O3,dynamic,10000,1,0.00141,0.99,10.267
Andrews.mtx,parallel,-O3,dynamic,10000,2,0.02565,1.0,11.182
Andrews.mtx,parallel,-O3,dynamic,10000,4,0.05179,1.0,16.271
Andrews.mtx,parallel,-O3,dynamic,10000,8,0.07982,1.0,22.668
Andrews.mtx,parallel,-O3,dynamic,10000,16,0.05729,0.99,24.148
Andrews.mtx,parallel,-O3,dynamic,10000,32,0.08967,0.95,23.838
Andrews.mtx,parallel,-O3,dynamic,10000,64,0.06653,0.881,25.766
Andrews.mtx,parallel,-O3,guided,1,1,0.00143,0.99,10.089
Andrews.mtx,parallel,-O3,guided,1,2,0.02546,1.0,17.158
Andrews.mtx,parallel,-O3,guided,1,4,0.02568,1.001,21.283
Andrews.mtx,parallel,-O3,guided,1,8,0.05055,1.0,21.824
Andrews.mtx,parallel,-O3,guided,1,16,0.06464,0.991,19.46
Andrews.mtx,parallel,-O3,guided,1,32,0.04014,0.974,15.141
Andrews.mtx,parallel,-O3,guided,1,64,0.06487,0.891,13.658
Andrews.mtx,parallel,-O3,guided,10,1,0.00141,0.99,9.007
Andrews.mtx,parallel,-O3,guided,10,2,0.01937,1.0,16.074
Andrews.mtx,parallel,-O3,guided,10,4,0.05443,1.001,15.777
Andrews.mtx,parallel,-O3,guided,10,8,0.06068,1.0,13.066
Andrews.mtx,parallel,-O3,guided,10,16,0.06744,0.99,21.285
Andrews.mtx,parallel,-O3,guided,10,32,0.08421,0.953,15.723
Andrews.mtx,parallel,-O3,guided,10,64,0.08296,0.871,14.428
Andrews.mtx,parallel,-O3,guided,100,1,0.00142,0.99,7.685
Andrews.mtx,parallel,-O3,guided,100,2,0.02533,1.0,20.277
Andrews.mtx,parallel,-O3,guided,100,4,0.03972,1.001,21.636
Andrews.mtx,parallel,-O3,guided,100,8,0.06783,1.001,18.964
Andrews.mtx,parallel,-O3,guided,100,16,0.08447,0.972,19.005
Andrews.mtx,parallel,-O3,guided,100,32,0.07059,0.941,16.162
Andrews.mtx,parallel,-O3,guided,100,64,0.07024,0.88,13.227
Andrews.mtx,parallel,-O3,guided,1000,1,0.00141,0.99,8.409
Andrews.mtx,parallel,-O3,guided,1000,2,0.02567,1.0,16.566
Andrews.mtx,parallel,-O3,guided,1000,4,0.03253,1.0,21.406
