matrix,schedule,num_threads,chunk_size,seq_time,par_time,speedup,efficiency,seq_bandwidth,par_bandwidth,bandwidth_speedup,seq_gflops,par_gflops,gflops_speedup,seq_L1_miss,par_L1_miss,seq_LLC_miss,par_LLC_miss,L1_miss_increase,LLC_miss_increase,L1_miss_ratio,LLC_miss_ratio
Andrews.mtx,dynamic,1,10000,0.702429,0.732565,0.958862,0.958862,8.158698,7.819819,0.958464,1.173812,1.125057,0.958464,1.21,1.18,7.161,7.565,-0.03,0.404,0.975207,1.056417
Andrews.mtx,dynamic,2,10000,0.702429,0.447321,1.570302,0.785151,8.158698,14.309143,1.753851,1.173812,2.058693,1.753852,1.21,1.18,7.161,10.761,-0.03,3.6,0.975207,1.502723
Andrews.mtx,dynamic,4,1000,0.702429,0.281572,2.494669,0.623667,8.158698,27.673466,3.391897,1.173812,3.981453,3.3919,1.21,1.18,7.161,15.688,-0.03,8.527,0.975207,2.190755
Andrews.mtx,dynamic,8,1000,0.702429,0.199604,3.519113,0.439889,8.158698,46.212754,5.664231,1.173812,6.648748,5.664236,1.21,1.18,7.161,14.923,-0.03,7.762,0.975207,2.083927
Andrews.mtx,dynamic,16,1000,0.702429,0.198341,3.541522,0.221345,8.158698,75.284067,9.227461,1.173812,10.831312,9.227467,1.21,1.161,7.161,16.213,-0.049,9.052,0.959504,2.264069
Andrews.mtx,dynamic,32,1000,0.702429,0.196075,3.582451,0.111952,8.158698,92.287299,11.311523,1.173812,13.277612,11.311532,1.21,1.058,7.161,17.541,-0.152,10.38,0.87438,2.449518
Andrews.mtx,dynamic,64,1000,0.702429,0.195145,3.599523,0.056243,8.158698,67.714052,8.299615,1.173812,9.742195,8.299621,1.21,0.913,7.161,15.318,-0.297,8.157,0.754545,2.139087
Andrews.mtx,guided,1,10000,0.702429,0.736117,0.954236,0.954236,8.158698,7.790523,0.954873,1.173812,1.120842,0.954874,1.21,1.18,7.161,6.87,-0.03,-0.291,0.975207,0.959363
Andrews.mtx,guided,2,10,0.702429,0.438976,1.600154,0.800077,8.158698,14.853626,1.820588,1.173812,2.13703,1.82059,1.21,1.18,7.161,16.372,-0.03,9.211,0.975207,2.286273
Andrews.mtx,guided,4,10,0.702429,0.24128,2.911261,0.727815,8.158698,27.858246,3.414546,1.173812,4.008037,3.414548,1.21,1.18,7.161,22.475,-0.03,15.314,0.975207,3.138528
Andrews.mtx,guided,8,1,0.702429,0.174642,4.022108,0.502764,8.158698,46.336967,5.679456,1.173812,6.666619,5.679461,1.21,1.171,7.161,17.309,-0.039,10.148,0.967769,2.417121
Andrews.mtx,guided,16,100,0.702429,0.152612,4.602711,0.287669,8.158698,79.387205,9.730377,1.173812,11.421641,9.730384,1.21,1.16,7.161,17.924,-0.05,10.763,0.958678,2.503002
Andrews.mtx,guided,32,100,0.702429,0.158071,4.443756,0.138867,8.158698,88.01987,10.78847,1.173812,12.663645,10.788478,1.21,1.055,7.161,15.808,-0.155,8.647,0.871901,2.207513
Andrews.mtx,guided,64,1000,0.702429,0.220323,3.188178,0.049815,8.158698,65.931378,8.081115,1.173812,9.485717,8.081121,1.21,0.932,7.161,15.75,-0.278,8.589,0.770248,2.199413
Andrews.mtx,static,1,1,0.702429,0.748014,0.939059,0.939059,8.158698,7.717349,0.945904,1.173812,1.110314,0.945904,1.21,1.18,7.161,5.021,-0.03,-2.14,0.975207,0.701159
Andrews.mtx,static,2,10000,0.702429,0.424003,1.65666,0.82833,8.158698,13.90109,1.703837,1.173812,1.999986,1.703838,1.21,1.18,7.161,18.196,-0.03,11.035,0.975207,2.540986
Andrews.mtx,static,4,1000,0.702429,0.220418,3.186804,0.796701,8.158698,27.673466,3.391897,1.173812,3.981453,3.3919,1.21,1.18,7.161,11.811,-0.03,4.65,0.975207,1.649351
Andrews.mtx,static,8,1000,0.702429,0.132013,5.320908,0.665113,8.158698,48.392228,5.931366,1.173812,6.962314,5.931371,1.21,1.181,7.161,14.808,-0.029,7.647,0.976033,2.067868
Andrews.mtx,static,16,100,0.702429,0.087785,8.001697,0.500106,8.158698,82.819914,10.151119,1.173812,11.915514,10.151126,1.21,1.182,7.161,14.991,-0.028,7.83,0.97686,2.093423
Andrews.mtx,static,32,1000,0.702429,0.060606,11.59009,0.36219,8.158698,139.010901,17.038368,1.173812,19.999856,17.038381,1.21,1.068,7.161,14.416,-0.142,7.255,0.882645,2.013127
Andrews.mtx,static,64,1000,0.702429,0.088787,7.911395,0.123616,8.158698,121.621468,14.90697,1.173812,17.497993,14.906981,1.21,0.904,7.161,14.304,-0.306,7.143,0.747107,1.997486
Hook_1498.mtx,dynamic,1,10,35.519886,42.324329,0.839231,0.839231,10.744394,9.489574,0.883212,1.780351,1.572427,0.883212,0.27,0.27,26.468,25.211,0.0,-1.257,1.0,0.952509
Hook_1498.mtx,dynamic,2,1000,35.519886,33.613515,1.056714,0.528357,10.744394,12.421848,1.156124,1.780351,2.058306,1.156124,0.27,0.27,26.468,31.27,0.0,4.802,1.0,1.181427
Hook_1498.mtx,dynamic,4,1000,35.519886,24.754214,1.434903,0.358726,10.744394,17.271878,1.607525,1.780351,2.861958,1.607525,0.27,0.27,26.468,40.21,0.0,13.742,1.0,1.519193
Hook_1498.mtx,dynamic,8,1000,35.519886,17.917514,1.982412,0.247801,10.744394,27.653848,2.573793,1.780351,4.582256,2.573794,0.27,0.27,26.468,36.689,0.0,10.221,1.0,1.386164
Hook_1498.mtx,dynamic,16,10000,35.519886,15.032577,2.362861,0.147679,10.744394,27.670635,2.575356,1.780351,4.585037,2.575356,0.27,0.27,26.468,32.466,0.0,5.998,1.0,1.226613
Hook_1498.mtx,dynamic,32,10,35.519886,19.525957,1.819111,0.056847,10.744394,21.388414,1.990658,1.780351,3.54407,1.990658,0.27,0.31,26.468,39.954,0.04,13.486,1.148148,1.509521
Hook_1498.mtx,dynamic,64,10,35.519886,16.804862,2.113667,0.033026,10.744394,24.931849,2.320452,1.780351,4.131219,2.320452,0.27,0.31,26.468,41.822,0.04,15.354,1.148148,1.580097
Hook_1498.mtx,guided,1,10,35.519886,35.42633,1.002641,1.002641,10.744394,10.785295,1.003807,1.780351,1.787128,1.003807,0.27,0.27,26.468,23.916,0.0,-2.552,1.0,0.903582
Hook_1498.mtx,guided,2,10,35.519886,20.491743,1.733376,0.866688,10.744394,18.897663,1.758839,1.780351,3.131352,1.75884,0.27,0.27,26.468,22.926,0.0,-3.542,1.0,0.866178
Hook_1498.mtx,guided,4,1000,35.519886,21.120572,1.681767,0.420442,10.744394,23.013506,2.141908,1.780351,3.813349,2.141909,0.27,0.27,26.468,23.422,0.0,-3.046,1.0,0.884918
Hook_1498.mtx,guided,8,10,35.519886,16.5138,2.150921,0.268865,10.744394,28.387764,2.6421,1.780351,4.703866,2.6421,0.27,0.27,26.468,24.733,0.0,-1.735,1.0,0.934449
Hook_1498.mtx,guided,16,100,35.519886,14.551616,2.440958,0.15256,10.744394,29.396527,2.735987,1.780351,4.871019,2.735988,0.27,0.27,26.468,28.191,0.0,1.723,1.0,1.065097
Hook_1498.mtx,guided,32,100,35.519886,34.105921,1.041458,0.032546,10.744394,17.023678,1.584424,1.780351,2.820831,1.584424,0.27,0.27,26.468,29.75,0.0,3.282,1.0,1.123999
Hook_1498.mtx,guided,64,1000,35.519886,117.313123,0.302778,0.004731,10.744394,4.871968,0.453443,1.780351,0.807287,0.453443,0.27,0.27,26.468,32.02,0.0,5.552,1.0,1.209763
Hook_1498.mtx,static,1,1000,35.519886,34.178566,1.039244,1.039244,10.744394,11.174073,1.039991,1.780351,1.85155,1.039992,0.27,0.27,26.468,23.577,0.0,-2.891,1.0,0.890774
Hook_1498.mtx,static,2,1000,35.519886,19.23213,1.846903,0.923452,10.744394,19.674198,1.831113,1.780351,3.260024,1.831113,0.27,0.27,26.468,31.691,0.0,5.223,1.0,1.197333
Hook_1498.mtx,static,4,1000,35.519886,18.911958,1.878171,0.469543,10.744394,21.477765,1.998974,1.780351,3.558876,1.998974,0.27,0.27,26.468,38.954,0.0,12.486,1.0,1.471739
Hook_1498.mtx,static,8,1000,35.519886,11.86347,2.994055,0.374257,10.744394,32.84471,3.056916,1.780351,5.442384,3.056916,0.27,0.27,26.468,36.08,0.0,9.612,1.0,1.363156
Hook_1498.mtx,static,16,1000,35.519886,11.476826,3.094922,0.193433,10.744394,34.012301,3.165586,1.780351,5.635854,3.165586,0.27,0.27,26.468,35.993,0.0,9.525,1.0,1.359869
Hook_1498.mtx,static,32,1000,35.519886,15.750932,2.255097,0.070472,10.744394,30.278942,2.818115,1.780351,5.017235,2.818116,0.27,0.27,26.468,37.116,0.0,10.648,1.0,1.402297
Hook_1498.mtx,static,64,1,35.519886,24.81451,1.431416,0.022366,10.744394,15.6944,1.460706,1.780351,2.60057,1.460706,0.27,0.47,26.468,48.727,0.2,22.259,1.740741,1.840978
bcsstk27.mtx,dynamic,1,10000,0.02408,0.02718,0.885946,0.885946,14.843106,13.209002,0.889908,2.479828,2.20682,0.889908,0.25,0.27,2.993,15.753,0.02,12.76,1.08,5.263281
bcsstk27.mtx,dynamic,2,100,0.02408,0.028968,0.831262,0.415631,14.843106,18.94449,1.276316,2.479828,3.165044,1.276316,0.25,0.28,2.993,24.625,0.03,21.632,1.12,8.227531
bcsstk27.mtx,dynamic,4,100,0.02408,0.020122,1.1967,0.299175,14.843106,24.580549,1.656025,2.479828,4.106657,1.656025,0.25,0.28,2.993,27.319,0.03,24.326,1.12,9.127631
bcsstk27.mtx,dynamic,8,100,0.02408,0.024175,0.99607,0.124509,14.843106,26.819455,1.806863,2.479828,4.480709,1.806863,0.25,0.28,2.993,21.53,0.03,18.537,1.12,7.193451
