matrix,mode,opt_level,schedule,chunk_size,num_threads,run,elapsed_time,bandwidth_GB_s,gflops
Andrews.mtx,sequential,-O3,none,none,1,1,0.699043,8.154800,1.173252
Andrews.mtx,sequential,-O3,none,none,1,2,0.702143,8.118803,1.168073
Andrews.mtx,sequential,-O3,none,none,1,3,0.699997,8.143690,1.171654
Andrews.mtx,sequential,-O3,none,none,1,4,0.705004,8.085856,1.163333
Andrews.mtx,sequential,-O3,none,none,1,5,0.697851,8.168731,1.175256
Andrews.mtx,sequential,-O3,none,none,1,6,0.699043,8.154800,1.173252
Andrews.mtx,sequential,-O3,none,none,1,7,0.699043,8.154800,1.173252
Andrews.mtx,sequential,-O3,none,none,1,8,0.698805,8.157583,1.173652
Andrews.mtx,sequential,-O3,none,none,1,9,0.701904,8.121561,1.168470
Andrews.mtx,sequential,-O3,none,none,1,10,0.702143,8.118803,1.168073
bcsstk27.mtx,sequential,-O3,none,none,1,1,0.024080,14.255260,2.381617
bcsstk27.mtx,sequential,-O3,none,none,1,2,0.024080,14.255260,2.381617
bcsstk27.mtx,sequential,-O3,none,none,1,3,0.024080,14.255260,2.381617
bcsstk27.mtx,sequential,-O3,none,none,1,4,0.023127,14.843106,2.479828
bcsstk27.mtx,sequential,-O3,none,none,1,5,0.023127,14.843106,2.479828
bcsstk27.mtx,sequential,-O3,none,none,1,6,0.023842,14.397813,2.405433
bcsstk27.mtx,sequential,-O3,none,none,1,7,0.023842,14.397813,2.405433
bcsstk27.mtx,sequential,-O3,none,none,1,8,0.024080,14.255260,2.381617
bcsstk27.mtx,sequential,-O3,none,none,1,9,0.024080,14.255260,2.381617
bcsstk27.mtx,sequential,-O3,none,none,1,10,0.024080,14.255260,2.381617
Hook_1498.mtx,sequential,-O3,none,none,1,1,35.752058,10.535798,1.745787
Hook_1498.mtx,sequential,-O3,none,none,1,2,35.134077,10.721114,1.776494
Hook_1498.mtx,sequential,-O3,none,none,1,3,35.066843,10.741670,1.779900
Hook_1498.mtx,sequential,-O3,none,none,1,4,34.978151,10.768907,1.784413
Hook_1498.mtx,sequential,-O3,none,none,1,5,35.279036,10.677062,1.769194
Hook_1498.mtx,sequential,-O3,none,none,1,6,35.244942,10.687391,1.770906
Hook_1498.mtx,sequential,-O3,none,none,1,7,35.177946,10.707745,1.774278
Hook_1498.mtx,sequential,-O3,none,none,1,8,35.268068,10.680383,1.769744
Hook_1498.mtx,sequential,-O3,none,none,1,9,35.203934,10.699840,1.772969
Hook_1498.mtx,sequential,-O3,none,none,1,10,35.494089,10.612372,1.758475
msdoor.mtx,sequential,-O3,none,none,1,1,11.481047,10.728544,1.799209
msdoor.mtx,sequential,-O3,none,none,1,2,11.358023,10.844749,1.818697
msdoor.mtx,sequential,-O3,none,none,1,3,11.157990,11.039167,1.851301
msdoor.mtx,sequential,-O3,none,none,1,4,11.073112,11.123784,1.865492
msdoor.mtx,sequential,-O3,none,none,1,5,11.162996,11.034216,1.850471
msdoor.mtx,sequential,-O3,none,none,1,6,11.411905,10.793545,1.810109
msdoor.mtx,sequential,-O3,none,none,1,7,11.183023,11.014455,1.847157
msdoor.mtx,sequential,-O3,none,none,1,8,11.121035,11.075850,1.857453
msdoor.mtx,sequential,-O3,none,none,1,9,11.198997,10.998744,1.844522
msdoor.mtx,sequential,-O3,none,none,1,10,11.276007,10.923629,1.831925
tmt_sym.mtx,sequential,-O3,none,none,1,1,5.517006,8.335861,1.052686
tmt_sym.mtx,sequential,-O3,none,none,1,2,5.500078,8.361517,1.055926
