matrix,mode,opt_level,schedule,chunk_size,num_threads,run,elapsed_time,bandwidth_GB_s,gflops,L1_loads,L1_misses,L1_miss_rate,LLC_loads,LLC_misses,LLC_miss_rate
Andrews.mtx,sequential,-O3,none,none,1,1,0.829935,6.868680,0.988215,204913626,2467097,1.20,53750,2783,5.18
Andrews.mtx,sequential,-O3,none,none,1,2,0.831842,6.852931,0.985949,204913623,2466293,1.20,49469,2427,4.91
Andrews.mtx,sequential,-O3,none,none,1,3,0.840902,6.779097,0.975326,204913619,2462956,1.20,46797,2307,4.93
Andrews.mtx,sequential,-O3,none,none,1,4,0.833035,6.843124,0.984538,204913634,2466135,1.20,42618,3009,7.06
Andrews.mtx,sequential,-O3,none,none,1,5,0.838041,6.802240,0.978656,204913618,2461503,1.20,52346,1527,2.92
Andrews.mtx,sequential,-O3,none,none,1,6,0.849009,6.714371,0.966014,204913637,2466348,1.20,44490,3176,7.14
Andrews.mtx,sequential,-O3,none,none,1,7,0.824928,6.910368,0.994212,204913609,2453411,1.20,46185,2481,5.37
Andrews.mtx,sequential,-O3,none,none,1,8,0.840902,6.779097,0.975326,204913618,2463161,1.20,45717,2015,4.41
Andrews.mtx,sequential,-O3,none,none,1,9,0.842810,6.763755,0.973119,204913624,2474884,1.21,47054,2334,4.96
Andrews.mtx,sequential,-O3,none,none,1,10,0.836134,6.817757,0.980888,204913616,2470839,1.21,48063,3534,7.35
bcsstk27.mtx,sequential,-O3,none,none,1,1,0.044107,7.782601,1.300234,19595217,49557,0.25,1333,45,3.38
bcsstk27.mtx,sequential,-O3,none,none,1,2,0.028849,11.899019,1.987961,19595508,49781,0.25,1018,30,2.95
bcsstk27.mtx,sequential,-O3,none,none,1,3,0.029087,11.801486,1.971667,19595508,48676,0.25,1222,16,1.31
bcsstk27.mtx,sequential,-O3,none,none,1,4,0.028133,12.201536,2.038503,19595497,49158,0.25,1215,25,2.06
bcsstk27.mtx,sequential,-O3,none,none,1,5,0.027895,12.305823,2.055926,19595514,48261,0.25,1038,18,1.73
bcsstk27.mtx,sequential,-O3,none,none,1,6,0.043154,7.954593,1.328969,19595237,49053,0.25,1055,22,2.09
bcsstk27.mtx,sequential,-O3,none,none,1,7,0.028849,11.899019,1.987961,19595508,48885,0.25,1240,26,2.10
